round,server_test_acc
0,20.23
1,36.82
2,54.65
3,60.66
4,57.29
5,60.03
6,67.26
7,69.21
8,69.44
9,66.1
10,65.27
11,64.57
12,73.73
13,70.49
14,68.71
15,69.77
16,67.8
17,76.1
18,75.06
19,74.28
20,60.58
21,73.42
22,71.61
23,72.2
24,76.29
25,76.8
26,78.7
27,73.92
28,78.37
29,76.91
30,78.07
31,77.85
32,80.42
33,74.96
34,79.11
35,78.94
36,78.81
37,74.41
38,80.49
39,75.12
40,79.01
41,80.83
42,76.37
43,76.42
44,79.21
45,76.3
46,81.19
47,79.2
48,81.81
49,79.26
50,73.22
51,81.41
52,80.86
53,81.48
54,75.39
55,75.55
56,78.85
57,75.54
58,78.86
59,79.08
60,76.38
61,79.79
62,74.24
63,77.81
64,73.94
65,79.15
66,79.72
67,77.6
68,81.14
69,80.88
70,78.05
71,75.3
72,79.74
73,79.72
74,72.37
75,80.97
76,80.62
77,79.47
78,80.13
79,80.26
80,81.2
81,80.57
82,78.85
83,80.83
84,81.58
85,79.48
86,81.71
87,76.73
88,78.84
89,76.08
90,77.48
91,78.71
92,75.1
93,77.79
94,77.48
95,78.59
96,79.5
97,76.53
98,77.73
99,75.06
100,76.18
101,80.0
102,76.57
103,79.17
104,80.65
105,79.42
106,79.93
107,80.21
108,80.11
109,80.86
110,77.59
111,79.21
112,80.66
113,79.52
114,78.88
115,79.58
116,76.58
117,77.77
118,78.37
119,79.89
120,80.87
121,79.76
122,80.22
123,80.08
124,79.94
125,75.85
126,79.19
127,81.33
128,79.02
129,76.37
130,79.39
131,79.54
132,81.71
133,78.87
134,78.58
135,79.78
136,79.62
137,80.65
138,79.5
139,81.37
140,79.73
141,79.17
142,76.87
143,80.04
144,81.21
145,80.63
146,81.18
147,81.36
148,81.66
149,80.71
