round,server_test_acc
0,10.0
1,25.81
2,23.56
3,52.16
4,37.7
5,51.2
6,46.15
7,57.08
8,60.78
9,54.24
10,56.16
11,54.4
12,60.02
13,61.88
14,52.53
15,57.88
16,64.05
17,64.71
18,54.64
19,57.21
20,69.99
21,63.59
22,66.03
23,59.35
24,60.87
25,67.47
26,65.48
27,64.74
28,68.16
29,70.05
30,67.56
31,70.53
32,68.77
33,69.37
34,67.11
35,71.08
36,72.59
37,71.95
38,69.39
39,71.82
40,70.89
41,74.65
42,72.18
43,72.04
44,72.93
45,60.98
46,70.58
47,71.44
48,70.12
49,70.1
50,69.31
51,71.48
52,69.23
53,73.72
54,70.98
55,71.55
56,71.25
57,74.15
58,69.6
59,68.19
60,74.78
61,75.02
62,70.61
63,74.1
64,74.42
65,73.27
66,70.88
67,72.7
68,75.71
69,73.96
70,76.04
71,74.96
72,73.62
73,72.22
74,70.13
75,75.36
76,68.42
77,70.19
78,73.5
79,73.03
80,74.47
81,74.45
82,73.65
83,72.07
84,73.67
85,74.62
86,75.42
87,77.59
88,73.57
89,73.43
90,76.13
91,74.84
92,73.25
93,69.6
94,74.52
95,75.5
96,75.25
97,76.29
98,68.25
99,72.68
100,74.64
101,76.34
102,74.45
103,74.8
104,75.1
105,75.34
106,74.3
107,76.02
108,75.8
109,78.07
110,76.87
111,69.66
112,73.33
113,78.91
114,72.86
115,79.71
116,77.18
117,76.85
118,73.59
119,78.36
120,75.72
121,77.21
122,75.05
123,77.34
124,74.06
125,77.62
126,78.4
127,73.52
128,75.33
129,77.29
130,72.26
131,77.58
132,73.03
133,74.55
134,79.92
135,75.33
136,76.37
137,72.75
138,78.84
139,77.65
140,72.92
141,75.92
142,75.27
143,75.69
144,76.68
145,74.52
146,76.88
147,76.6
148,76.46
149,71.6
