round,server_test_acc
0,12.48
1,18.07
2,37.27
3,44.13
4,54.23
5,51.98
6,45.59
7,65.39
8,62.36
9,65.24
10,64.9
11,65.19
12,67.84
13,60.97
14,66.78
15,73.34
16,72.28
17,73.78
18,72.84
19,71.94
20,57.87
21,67.11
22,76.01
23,72.01
24,74.33
25,72.45
26,73.36
27,74.07
28,72.79
29,76.14
30,74.19
31,75.63
32,74.53
33,75.84
34,67.04
35,76.07
36,72.88
37,75.65
38,73.51
39,76.89
40,74.58
41,73.69
42,79.39
43,77.01
44,73.36
45,76.42
46,79.25
47,74.92
48,74.68
49,78.44
50,78.54
51,78.6
52,72.88
53,78.36
54,79.95
55,69.58
56,79.69
57,79.37
58,74.96
59,81.05
60,77.41
61,78.06
62,77.42
63,79.13
64,79.6
65,76.89
66,68.94
67,79.08
68,74.3
69,79.76
70,79.96
71,76.69
72,81.9
73,78.85
74,76.88
75,81.29
76,82.46
77,79.81
78,82.03
79,83.08
80,83.06
81,78.33
82,73.76
83,82.24
84,78.3
85,82.87
86,67.09
87,81.04
88,70.44
89,80.9
90,81.46
91,78.32
92,81.33
93,78.56
94,71.45
95,80.24
96,83.37
97,84.48
98,84.03
99,79.45
100,77.73
101,79.56
102,84.47
103,85.14
104,84.95
105,84.66
106,83.65
107,79.32
108,83.07
109,82.65
110,82.93
111,84.91
112,83.23
113,82.32
114,83.64
115,66.77
116,84.28
117,80.21
118,81.35
119,84.67
120,84.27
121,84.3
122,81.62
123,70.74
124,81.52
125,85.65
126,72.45
127,84.66
128,85.0
129,85.36
130,83.55
131,83.0
132,80.54
133,78.1
134,84.43
135,78.88
136,79.59
137,85.56
138,85.64
139,84.57
140,85.14
141,85.84
142,84.89
143,85.48
144,82.02
145,84.12
146,83.06
147,86.79
148,83.18
149,83.89
