round,server_test_acc
0,23.7
1,21.01
2,36.67
3,54.85
4,41.36
5,39.61
6,32.64
7,37.31
8,54.62
9,49.1
10,52.55
11,59.92
12,60.54
13,55.9
14,70.69
15,64.67
16,64.39
17,54.15
18,62.57
19,56.97
20,68.04
21,68.2
22,67.11
23,59.41
24,68.81
25,73.97
26,75.99
27,68.1
28,65.6
29,69.71
30,72.64
31,76.03
32,72.78
33,71.48
34,66.75
35,78.14
36,74.35
37,69.88
38,65.37
39,73.55
40,77.0
41,68.2
42,76.18
43,77.87
44,71.54
45,75.87
46,75.65
47,70.01
48,72.67
49,69.54
50,75.26
51,32.49
52,57.69
53,54.28
54,72.21
55,67.94
56,75.36
57,77.6
58,45.1
59,48.67
60,67.32
61,64.7
62,72.98
63,72.81
64,73.11
65,75.16
66,76.16
67,72.38
68,75.56
69,74.47
70,75.3
71,76.75
72,75.29
73,67.19
74,75.21
75,76.83
76,78.79
77,76.37
78,77.49
79,77.53
80,73.64
81,78.52
82,77.03
83,70.11
84,76.53
85,77.69
86,79.85
87,76.48
88,77.52
89,74.62
90,76.42
91,78.85
92,79.64
93,70.88
94,76.66
95,65.64
96,77.83
97,78.69
98,66.14
99,78.95
100,79.13
101,76.85
102,77.02
103,77.23
104,78.62
105,79.94
106,78.35
107,77.51
108,75.3
109,79.63
110,80.13
111,76.54
112,79.63
113,80.77
114,77.45
115,76.55
116,78.4
117,77.58
118,80.46
119,68.27
120,77.6
121,78.64
122,80.07
123,80.14
124,80.73
125,76.74
126,67.05
127,80.24
128,79.87
129,78.72
130,82.61
131,82.45
132,80.82
133,81.2
134,77.64
135,79.75
136,72.44
137,81.91
138,77.02
139,78.37
140,81.41
141,80.39
142,81.58
143,80.64
144,78.68
145,78.91
146,76.61
147,70.08
148,81.12
149,82.1
