round,server_test_acc
0,34.63
1,56.42
2,56.9
3,53.58
4,51.85
5,68.46
6,67.91
7,69.21
8,70.38
9,69.44
10,69.29
11,76.76
12,74.8
13,68.37
14,72.53
15,76.71
16,73.31
17,77.81
18,77.3
19,76.47
20,73.2
21,77.7
22,68.62
23,78.1
24,65.23
25,77.56
26,72.48
27,77.57
28,76.35
29,76.78
30,77.77
31,76.73
32,80.07
33,73.01
34,74.82
35,76.41
36,79.96
37,75.75
38,71.8
39,76.92
40,79.02
41,71.92
42,80.31
43,79.8
44,80.19
45,77.98
46,78.27
47,79.34
48,82.49
49,72.03
50,81.55
51,79.88
52,79.19
53,80.2
54,81.63
55,80.53
56,80.4
57,82.59
58,79.57
59,78.27
60,81.28
61,78.65
62,73.1
63,74.91
64,80.25
65,81.23
66,76.82
67,80.73
68,80.37
69,70.57
70,79.89
71,75.51
72,78.88
73,79.85
74,76.04
75,79.34
76,72.96
77,81.16
78,80.6
79,78.29
80,74.79
81,78.24
82,77.2
83,75.19
84,78.24
85,78.09
86,77.87
87,79.67
88,75.11
89,74.8
90,81.26
91,73.35
92,82.03
93,73.76
94,80.15
95,75.05
96,78.58
97,78.05
98,78.32
99,77.04
100,80.92
101,81.86
102,78.56
103,76.08
104,75.13
105,77.69
106,79.94
107,78.05
108,71.97
109,73.7
110,78.86
111,77.88
112,79.64
113,75.4
114,81.07
115,79.21
116,78.49
117,79.47
118,81.21
119,79.25
120,80.11
121,75.8
122,80.89
123,80.73
124,75.59
125,76.15
126,80.8
127,76.14
128,79.9
129,79.87
130,79.19
131,78.59
132,79.94
133,79.3
134,79.36
135,79.97
136,80.17
137,74.63
138,78.12
139,78.09
140,76.25
141,79.96
142,79.65
143,79.87
144,79.26
145,79.18
146,81.52
147,80.84
148,81.23
149,74.7
