round,server_test_acc
0,10.0
1,16.51
2,27.41
3,24.54
4,27.79
5,37.05
6,39.03
7,29.05
8,39.54
9,40.17
10,31.01
11,32.69
12,43.26
13,38.92
14,47.89
15,43.98
16,47.88
17,38.78
18,35.91
19,36.5
20,36.01
21,40.47
22,43.02
23,36.33
24,48.8
25,45.32
26,38.04
27,40.51
28,53.73
29,52.51
30,47.59
31,48.91
32,54.57
33,48.25
34,40.03
35,46.01
36,46.51
37,39.19
38,42.23
39,60.02
40,56.47
41,59.94
42,60.38
43,62.39
44,60.07
45,62.87
46,61.32
47,67.0
48,70.58
49,61.37
50,58.34
51,60.68
52,73.5
53,72.68
54,58.3
55,55.32
56,46.35
57,61.13
58,61.17
59,67.62
60,51.4
61,65.02
62,70.57
63,65.91
64,62.63
65,58.79
66,67.81
67,71.38
68,67.43
69,70.97
70,65.2
71,63.62
72,64.3
73,64.23
74,66.28
75,66.2
76,70.06
77,66.77
78,71.84
79,72.29
80,72.39
81,73.46
82,74.95
83,75.54
84,73.35
85,67.75
86,64.31
87,59.99
88,64.98
89,71.62
90,68.62
91,67.52
92,57.54
93,65.26
94,72.29
95,72.77
96,73.68
97,70.67
98,73.99
99,73.78
100,76.29
101,66.94
102,72.75
103,73.45
104,73.88
105,68.57
106,64.55
107,69.54
108,66.12
109,58.19
110,72.03
111,75.12
112,69.79
113,61.69
114,69.97
115,71.96
116,70.2
117,69.64
118,64.47
119,64.53
120,67.58
121,72.82
122,69.21
123,66.32
124,73.14
125,67.04
126,69.01
127,69.08
128,73.55
129,73.45
130,68.88
131,66.82
132,70.91
133,74.04
134,73.41
135,72.4
136,75.21
137,71.21
138,71.56
139,75.48
140,68.6
141,65.61
142,72.48
143,72.93
144,72.92
145,62.22
146,69.94
147,74.96
148,76.92
149,78.82
