round,server_test_acc
0,10.12
1,29.36
2,40.74
3,46.27
4,48.15
5,58.3
6,64.53
7,65.04
8,64.74
9,60.01
10,68.16
11,67.67
12,68.99
13,72.23
14,72.45
15,73.55
16,71.56
17,67.33
18,71.93
19,71.8
20,75.78
21,74.93
22,69.73
23,73.01
24,73.83
25,68.36
26,67.27
27,75.02
28,73.07
29,70.97
30,72.21
31,74.93
32,78.25
33,72.76
34,76.99
35,74.69
36,75.95
37,75.27
38,75.99
39,77.95
40,72.74
41,73.9
42,67.2
43,67.99
44,75.98
45,78.49
46,79.29
47,78.3
48,77.73
49,78.05
50,76.59
51,72.57
52,77.88
53,75.75
54,76.08
55,76.07
56,76.07
57,74.91
58,71.13
59,73.91
60,77.59
61,79.28
62,73.36
63,74.26
64,78.86
65,77.12
66,78.66
67,79.19
68,79.56
69,79.2
70,79.68
71,76.51
72,79.68
73,81.04
74,75.27
75,69.89
76,74.57
77,80.39
78,78.04
79,80.13
80,80.3
81,79.84
82,77.46
83,74.48
84,71.34
85,74.37
86,81.26
87,71.13
88,75.59
89,78.46
90,75.88
91,77.02
92,67.7
93,77.53
94,79.64
95,76.73
96,79.86
97,80.04
98,81.93
99,78.91
100,73.11
101,76.51
102,79.53
103,78.73
104,79.18
105,79.6
106,76.63
107,78.59
108,77.88
109,81.26
110,74.89
111,81.98
112,79.19
113,76.33
114,77.46
115,75.43
116,79.47
117,80.52
118,79.12
119,79.44
120,81.26
121,81.16
122,81.64
123,74.78
124,82.05
125,82.63
126,80.96
127,79.21
128,79.56
129,80.74
130,81.64
131,79.8
132,80.4
133,81.75
134,82.59
135,77.59
136,77.9
137,80.02
138,80.86
139,81.92
140,82.53
141,80.79
142,76.9
143,79.23
144,80.97
145,78.04
146,77.33
147,81.01
148,81.8
149,81.46
