round,server_test_acc
0,33.28
1,36.26
2,53.2
3,56.65
4,62.91
5,66.29
6,68.7
7,72.77
8,70.63
9,74.68
10,74.89
11,73.81
12,73.47
13,70.37
14,72.79
15,71.65
16,73.06
17,74.77
18,70.84
19,72.1
20,71.37
21,74.88
22,70.98
23,74.85
24,75.84
25,77.7
26,77.64
27,77.93
28,75.65
29,75.74
30,77.72
31,76.97
32,73.48
33,72.55
34,77.28
35,77.46
36,77.23
37,77.8
38,75.54
39,74.15
40,78.21
41,73.32
42,74.1
43,79.89
44,79.81
45,75.62
46,81.08
47,80.21
48,78.9
49,75.46
50,76.13
51,78.92
52,80.75
53,78.28
54,80.34
55,81.76
56,78.94
57,77.88
58,75.42
59,80.53
60,79.84
61,79.25
62,76.78
63,73.83
64,76.62
65,81.54
66,79.64
67,76.91
68,79.35
69,81.25
70,81.67
71,79.86
72,79.94
73,79.46
74,76.44
75,77.42
76,80.23
77,79.65
78,81.07
79,79.22
80,78.21
81,80.72
82,79.45
83,81.46
84,78.46
85,77.31
86,81.58
87,74.18
88,80.28
89,81.03
90,82.2
91,82.42
92,79.79
93,77.77
94,79.49
95,81.11
96,81.06
97,81.55
98,80.79
99,80.25
100,79.77
101,75.62
102,77.44
103,82.71
104,80.97
105,80.91
106,82.61
107,80.22
108,81.24
109,81.62
110,80.77
111,83.3
112,79.27
113,81.88
114,80.59
115,80.83
116,82.19
117,78.52
118,81.71
119,82.49
120,81.1
121,82.11
122,80.92
123,80.32
124,80.51
125,82.47
126,82.83
127,79.85
128,82.13
129,81.33
130,80.93
131,82.36
132,80.1
133,78.89
134,83.05
135,81.44
136,77.57
137,82.15
138,81.94
139,82.59
140,82.23
141,83.74
142,82.52
143,83.37
144,82.6
145,80.51
146,81.19
147,83.57
148,82.71
149,80.35
