round,average,clipping_median,cos_defense,dual_defense,fedavg,krum,our,trimmed_mean
0,20.23,10.0,12.48,23.7,34.63,10.0,10.12,33.28
1,36.82,25.81,18.07,21.01,56.42,16.51,29.36,36.26
2,54.65,23.56,37.27,36.67,56.9,27.41,40.74,53.2
3,60.66,52.16,44.13,54.85,53.58,24.54,46.27,56.65
4,57.29,37.7,54.23,41.36,51.85,27.79,48.15,62.91
5,60.03,51.2,51.98,39.61,68.46,37.05,58.3,66.29
6,67.26,46.15,45.59,32.64,67.91,39.03,64.53,68.7
7,69.21,57.08,65.39,37.31,69.21,29.05,65.04,72.77
8,69.44,60.78,62.36,54.62,70.38,39.54,64.74,70.63
9,66.1,54.24,65.24,49.1,69.44,40.17,60.01,74.68
10,65.27,56.16,64.9,52.55,69.29,31.01,68.16,74.89
11,64.57,54.4,65.19,59.92,76.76,32.69,67.67,73.81
12,73.73,60.02,67.84,60.54,74.8,43.26,68.99,73.47
13,70.49,61.88,60.97,55.9,68.37,38.92,72.23,70.37
14,68.71,52.53,66.78,70.69,72.53,47.89,72.45,72.79
15,69.77,57.88,73.34,64.67,76.71,43.98,73.55,71.65
16,67.8,64.05,72.28,64.39,73.31,47.88,71.56,73.06
17,76.1,64.71,73.78,54.15,77.81,38.78,67.33,74.77
18,75.06,54.64,72.84,62.57,77.3,35.91,71.93,70.84
19,74.28,57.21,71.94,56.97,76.47,36.5,71.8,72.1
20,60.58,69.99,57.87,68.04,73.2,36.01,75.78,71.37
21,73.42,63.59,67.11,68.2,77.7,40.47,74.93,74.88
22,71.61,66.03,76.01,67.11,68.62,43.02,69.73,70.98
23,72.2,59.35,72.01,59.41,78.1,36.33,73.01,74.85
24,76.29,60.87,74.33,68.81,65.23,48.8,73.83,75.84
25,76.8,67.47,72.45,73.97,77.56,45.32,68.36,77.7
26,78.7,65.48,73.36,75.99,72.48,38.04,67.27,77.64
27,73.92,64.74,74.07,68.1,77.57,40.51,75.02,77.93
28,78.37,68.16,72.79,65.6,76.35,53.73,73.07,75.65
29,76.91,70.05,76.14,69.71,76.78,52.51,70.97,75.74
30,78.07,67.56,74.19,72.64,77.77,47.59,72.21,77.72
31,77.85,70.53,75.63,76.03,76.73,48.91,74.93,76.97
32,80.42,68.77,74.53,72.78,80.07,54.57,78.25,73.48
33,74.96,69.37,75.84,71.48,73.01,48.25,72.76,72.55
34,79.11,67.11,67.04,66.75,74.82,40.03,76.99,77.28
35,78.94,71.08,76.07,78.14,76.41,46.01,74.69,77.46
36,78.81,72.59,72.88,74.35,79.96,46.51,75.95,77.23
37,74.41,71.95,75.65,69.88,75.75,39.19,75.27,77.8
38,80.49,69.39,73.51,65.37,71.8,42.23,75.99,75.54
39,75.12,71.82,76.89,73.55,76.92,60.02,77.95,74.15
40,79.01,70.89,74.58,77.0,79.02,56.47,72.74,78.21
41,80.83,74.65,73.69,68.2,71.92,59.94,73.9,73.32
42,76.37,72.18,79.39,76.18,80.31,60.38,67.2,74.1
43,76.42,72.04,77.01,77.87,79.8,62.39,67.99,79.89
44,79.21,72.93,73.36,71.54,80.19,60.07,75.98,79.81
45,76.3,60.98,76.42,75.87,77.98,62.87,78.49,75.62
46,81.19,70.58,79.25,75.65,78.27,61.32,79.29,81.08
47,79.2,71.44,74.92,70.01,79.34,67.0,78.3,80.21
48,81.81,70.12,74.68,72.67,82.49,70.58,77.73,78.9
49,79.26,70.1,78.44,69.54,72.03,61.37,78.05,75.46
50,73.22,69.31,78.54,75.26,81.55,58.34,76.59,76.13
51,81.41,71.48,78.6,32.49,79.88,60.68,72.57,78.92
52,80.86,69.23,72.88,57.69,79.19,73.5,77.88,80.75
53,81.48,73.72,78.36,54.28,80.2,72.68,75.75,78.28
54,75.39,70.98,79.95,72.21,81.63,58.3,76.08,80.34
