round,server_test_acc
0,25.13
1,51.85
2,47.19
3,51.1
4,60.31
5,53.99
6,64.52
7,66.17
8,56.18
9,62.24
10,66.28
11,68.39
12,69.74
13,68.29
14,72.69
15,66.92
16,72.18
17,71.1
18,72.52
19,73.46
20,75.55
21,74.17
22,74.78
23,67.83
24,77.36
25,75.69
26,76.55
27,76.82
28,72.37
29,77.09
30,78.49
31,73.69
32,72.22
33,78.87
34,78.15
35,78.24
36,77.83
37,76.08
38,78.75
39,74.45
40,77.67
41,78.92
42,77.16
43,78.77
44,79.4
45,77.02
46,77.3
47,79.24
48,80.23
49,81.03
50,77.74
51,68.08
52,15.39
53,10.0
54,10.0
55,10.0
56,10.0
57,10.0
58,10.0
59,10.0
60,10.0
61,10.0
62,10.0
63,10.0
64,10.0
65,10.0
66,10.0
67,10.0
68,10.0
69,10.0
70,10.0
71,10.0
72,10.0
73,10.0
74,10.0
75,10.0
76,10.0
77,10.0
78,10.0
79,10.0
80,10.0
81,10.0
82,10.0
83,10.0
84,10.0
85,10.0
86,10.0
87,10.0
88,10.0
89,10.0
90,10.0
91,10.0
92,10.0
93,10.0
94,10.0
95,10.0
96,10.0
97,10.0
98,10.0
99,10.0
