round,server_test_acc
0,32.32
1,35.71
2,36.85
3,33.62
4,42.19
5,53.49
6,46.27
7,49.61
8,57.46
9,58.32
10,62.17
11,47.99
12,62.7
13,64.49
14,60.56
15,64.97
16,61.01
17,65.45
18,61.32
19,69.93
20,66.27
21,72.99
22,61.3
23,62.02
24,65.73
25,73.24
26,67.98
27,69.02
28,66.37
29,72.77
30,72.66
31,63.68
32,73.06
33,69.96
34,68.63
35,72.21
36,72.08
37,67.38
38,70.09
39,71.41
40,72.92
41,75.1
42,67.34
43,67.75
44,74.37
45,65.63
46,72.98
47,67.96
48,70.7
49,73.41
50,75.03
51,70.05
52,68.81
53,74.2
54,72.89
55,64.2
56,66.52
57,69.79
58,70.35
59,66.05
60,60.75
61,63.07
62,59.22
63,64.54
64,74.0
65,68.96
66,70.78
67,70.75
68,72.39
69,69.61
70,70.22
71,70.09
72,72.18
73,74.84
74,66.49
75,68.6
76,66.05
77,64.6
78,70.18
79,63.94
80,67.31
81,58.0
82,63.31
83,59.71
84,60.45
85,65.22
86,70.94
87,69.61
88,73.13
89,74.1
90,73.54
91,69.3
92,73.72
93,67.05
94,71.68
95,72.2
96,68.48
97,67.56
98,70.96
99,68.56
