round,server_test_acc
0,15.4
1,23.62
2,52.27
3,60.87
4,61.03
5,55.83
6,67.95
7,64.62
8,69.05
9,63.74
10,70.74
11,72.01
12,72.92
13,76.67
14,75.9
15,74.97
16,77.84
17,72.95
18,79.84
19,75.99
20,78.1
21,78.03
22,73.46
23,78.69
24,78.94
25,79.08
26,77.43
27,70.89
28,75.32
29,67.25
30,76.7
31,77.44
32,81.22
33,79.66
34,80.21
35,78.37
36,75.99
37,79.92
38,80.51
39,79.43
40,81.97
41,82.18
42,77.2
43,83.5
44,80.39
45,80.38
46,81.12
47,82.58
48,78.2
49,79.53
50,81.72
51,69.87
52,34.44
53,10.0
54,10.0
55,10.0
56,10.0
57,10.0
58,10.0
59,10.0
60,10.0
61,10.0
62,10.0
63,10.0
64,10.0
65,10.0
66,10.0
67,10.0
68,10.0
69,10.0
70,10.0
71,10.0
72,10.0
73,10.0
74,10.0
75,10.0
76,10.0
77,10.0
78,10.0
79,10.0
80,10.0
81,10.0
82,10.0
83,10.0
84,10.0
85,10.0
86,10.0
87,10.0
88,10.0
89,10.0
90,10.0
91,10.0
92,10.0
93,10.0
94,10.0
95,10.0
96,10.0
97,10.0
98,10.0
99,10.0
