round,average,clipping_median,cos_defense,dual_defense,fedavg,krum,our,trimmed_mean
0,25.13,32.32,28.19,10.0,15.4,10.0,17.72,26.2
1,51.85,35.71,43.67,10.0,23.62,21.31,28.51,24.86
2,47.19,36.85,35.37,29.2,52.27,10.0,49.31,37.95
3,51.1,33.62,50.91,44.32,60.87,12.64,55.6,53.9
4,60.31,42.19,52.84,37.75,61.03,17.5,45.83,53.64
5,53.99,53.49,62.99,41.64,55.83,18.63,55.74,63.44
6,64.52,46.27,59.19,42.55,67.95,19.12,45.6,58.12
7,66.17,49.61,69.86,52.55,64.62,10.0,56.18,67.67
8,56.18,57.46,68.08,48.75,69.05,10.0,55.93,68.25
9,62.24,58.32,66.23,61.91,63.74,17.8,58.79,66.56
10,66.28,62.17,69.93,58.21,70.74,21.28,58.38,65.61
11,68.39,47.99,63.54,54.86,72.01,35.77,59.91,72.11
12,69.74,62.7,69.87,56.98,72.92,21.12,55.67,69.07
13,68.29,64.49,69.78,61.45,76.67,28.83,64.67,74.15
14,72.69,60.56,72.33,56.94,75.9,23.61,60.13,70.22
15,66.92,64.97,74.8,51.37,74.97,20.61,68.18,68.17
16,72.18,61.01,71.25,53.44,77.84,28.26,62.29,72.88
17,71.1,65.45,71.72,70.83,72.95,12.37,65.56,73.65
18,72.52,61.32,71.42,64.81,79.84,40.64,68.37,69.74
19,73.46,69.93,73.94,70.42,75.99,28.08,67.25,72.34
20,75.55,66.27,68.73,63.41,78.1,37.77,68.08,71.1
21,74.17,72.99,68.72,66.97,78.03,31.27,69.08,73.66
22,74.78,61.3,71.9,59.49,73.46,47.34,68.96,76.73
23,67.83,62.02,73.38,65.81,78.69,29.9,69.37,70.89
24,77.36,65.73,76.48,71.3,78.94,28.97,73.5,72.79
25,75.69,73.24,74.33,69.8,79.08,30.57,75.37,73.73
26,76.55,67.98,76.12,71.9,77.43,28.42,67.32,72.62
27,76.82,69.02,77.14,65.94,70.89,29.36,68.76,71.6
28,72.37,66.37,75.18,69.26,75.32,36.34,72.53,74.24
29,77.09,72.77,70.68,73.01,67.25,50.84,70.92,74.09
30,78.49,72.66,76.08,70.84,76.7,50.23,71.51,76.81
31,73.69,63.68,69.59,73.86,77.44,63.08,70.78,76.67
32,72.22,73.06,74.88,66.75,81.22,53.26,75.19,75.43
33,78.87,69.96,75.37,69.24,79.66,44.3,68.1,76.9
34,78.15,68.63,75.66,72.45,80.21,57.72,70.47,72.45
35,78.24,72.21,76.75,74.76,78.37,48.75,69.45,74.74
36,77.83,72.08,78.27,71.65,75.99,59.89,74.04,70.79
37,76.08,67.38,74.32,74.12,79.92,50.86,70.14,77.4
38,78.75,70.09,78.42,70.98,80.51,53.07,65.25,78.32
39,74.45,71.41,76.03,77.29,79.43,53.72,76.92,77.32
40,77.67,72.92,78.19,74.32,81.97,61.09,75.36,74.08
