round,server_test_acc
0,20.97
1,12.71
2,29.77
3,38.26
4,47.3
5,46.55
6,52.09
7,52.41
8,58.84
9,47.63
10,45.16
11,48.66
12,58.14
13,56.95
14,59.76
15,57.8
16,62.75
17,61.77
18,59.92
19,60.87
20,58.4
21,64.35
22,62.18
23,60.61
24,60.57
25,62.01
26,69.59
27,63.8
28,61.15
29,67.59
30,61.36
31,65.87
32,69.54
33,62.18
34,58.89
35,71.18
36,67.99
37,71.58
38,72.27
39,71.24
40,69.17
41,69.78
42,71.46
43,72.77
44,72.56
45,68.24
46,64.33
47,71.06
48,69.15
49,71.05
50,74.72
51,70.75
52,69.06
53,73.16
54,72.47
55,73.19
56,69.57
57,73.27
58,66.08
59,71.9
60,72.2
61,76.11
62,75.29
63,73.4
64,74.11
65,74.53
66,76.54
67,75.83
68,77.11
69,74.62
70,73.65
71,77.51
72,76.7
73,75.98
74,75.64
75,75.03
76,75.35
77,76.45
78,74.44
79,74.53
80,75.97
81,74.7
82,75.34
83,77.7
84,75.8
85,76.39
86,76.09
87,78.08
88,73.21
89,72.94
90,75.91
91,71.95
92,77.19
93,71.38
94,77.1
95,77.47
96,75.64
97,76.0
98,76.34
99,76.38
100,76.17
101,74.31
102,74.79
103,75.56
104,74.21
105,77.97
106,76.01
107,76.26
108,78.17
109,72.54
110,74.5
111,78.78
112,74.5
113,76.99
114,76.07
115,77.9
116,77.81
117,77.04
118,79.32
119,79.24
120,78.58
121,77.95
122,78.55
123,79.27
124,78.72
125,76.48
126,77.46
127,78.61
128,78.48
129,79.68
130,78.75
131,79.06
132,78.13
133,75.21
134,73.42
135,79.1
136,75.13
137,77.95
138,75.0
139,74.53
140,77.68
141,78.58
142,74.59
143,77.04
144,75.44
145,78.5
146,76.83
147,77.05
148,76.9
149,78.3
