round,server_test_acc
0,10.0
1,25.02
2,44.03
3,43.37
4,59.6
5,58.5
6,55.04
7,62.82
8,65.49
9,59.65
10,64.89
11,70.38
12,61.47
13,55.92
14,73.48
15,61.43
16,67.41
17,65.08
18,65.19
19,70.59
20,72.13
21,70.97
22,72.42
23,74.59
24,65.46
25,64.07
26,75.71
27,73.77
28,75.47
29,75.5
30,76.86
31,74.18
32,75.62
33,73.37
34,73.51
35,74.22
36,77.13
37,78.75
38,74.07
39,71.92
40,71.18
41,75.47
42,76.83
43,78.36
44,77.88
45,76.09
46,78.2
47,79.39
48,75.52
49,72.42
50,79.25
51,74.52
52,55.82
53,10.05
54,10.03
55,10.03
56,10.02
57,10.02
58,10.02
59,10.02
60,10.02
61,10.02
62,10.02
63,10.02
64,10.02
65,10.02
66,10.02
67,10.02
68,10.02
69,10.02
70,10.02
71,10.02
72,10.02
73,10.02
74,10.02
75,10.02
76,10.02
77,10.02
78,10.02
79,10.02
80,10.02
81,10.02
82,10.02
83,10.02
84,10.02
85,10.02
86,10.02
87,10.02
88,10.02
89,10.02
90,10.02
91,10.02
92,10.02
93,10.02
94,10.02
95,10.02
96,10.02
97,10.02
98,10.02
99,10.02
100,10.02
101,10.02
102,10.02
103,10.02
104,10.02
105,10.02
106,10.02
107,10.02
108,10.02
109,10.02
110,10.02
111,10.02
112,10.02
113,10.02
114,10.02
115,10.02
116,10.02
117,10.02
118,10.02
119,10.02
120,10.02
121,10.02
122,10.02
123,10.02
124,10.02
125,10.02
126,10.02
127,10.02
128,10.02
129,10.02
130,10.02
131,10.02
132,10.02
133,10.02
134,10.01
135,10.01
136,10.01
137,10.0
138,10.0
139,10.0
140,10.0
141,10.0
142,10.0
143,10.0
144,10.0
145,10.0
146,10.0
147,10.0
148,10.0
149,10.0
