round,server_test_acc
0,16.96
1,18.05
2,27.75
3,33.61
4,29.45
5,40.72
6,41.33
7,44.49
8,50.96
9,56.04
10,51.97
11,64.97
12,67.57
13,62.54
14,69.54
15,64.17
16,65.71
17,68.26
18,63.24
19,69.38
20,63.62
21,67.29
22,59.01
23,66.74
24,66.3
25,64.26
26,66.8
27,52.77
28,66.3
29,71.78
30,74.52
31,75.7
32,74.34
33,68.16
34,68.06
35,69.94
36,73.86
37,74.67
38,73.16
39,71.14
40,69.87
41,73.12
42,70.85
43,69.66
44,74.35
45,71.65
46,73.29
47,72.41
48,72.1
49,75.99
50,74.56
51,76.95
52,71.12
53,66.75
54,10.0
55,10.0
56,10.0
57,10.0
58,10.0
59,10.0
60,10.0
61,10.0
62,10.0
63,10.0
64,10.0
65,10.0
66,10.0
67,10.0
68,10.0
69,10.0
70,10.0
71,10.0
72,10.0
73,10.0
74,10.0
75,10.0
76,10.0
77,10.0
78,10.0
79,10.0
80,10.0
81,10.0
82,10.0
83,10.0
84,10.0
85,10.0
86,10.0
87,10.0
88,10.0
89,10.0
90,10.0
91,10.0
92,10.0
93,10.0
94,10.0
95,10.0
96,10.0
97,10.0
98,10.0
99,10.0
100,10.0
101,10.0
102,10.0
103,10.0
104,10.0
105,10.0
106,10.0
107,10.0
108,10.0
109,10.0
110,10.0
111,10.0
112,10.0
113,10.0
114,10.0
115,10.0
116,10.0
117,10.0
118,10.0
119,10.0
120,10.0
121,10.0
122,10.0
123,10.0
124,10.0
125,10.0
126,10.0
127,10.0
128,10.0
129,10.0
130,10.0
131,10.0
132,10.0
133,10.0
134,10.0
135,10.0
136,10.0
137,10.0
138,10.0
139,10.0
140,10.0
141,10.0
142,10.0
143,10.0
144,10.0
145,10.0
146,10.0
147,10.0
148,10.0
149,10.0
