round,server_test_acc
0,13.37
1,42.96
2,50.5
3,53.61
4,60.07
5,58.75
6,67.21
7,70.64
8,65.12
9,72.12
10,73.94
11,65.1
12,73.44
13,73.55
14,73.96
15,72.49
16,68.22
17,74.14
18,75.8
19,77.8
20,74.1
21,75.79
22,75.58
23,72.32
24,68.61
25,75.56
26,75.93
27,77.41
28,70.92
29,76.07
30,77.89
31,80.19
32,79.67
33,74.83
34,77.66
35,76.6
36,78.35
37,79.48
38,74.78
39,79.13
40,81.32
41,75.11
42,80.74
43,75.75
44,79.17
45,81.01
46,70.92
47,78.84
48,81.28
49,78.91
50,76.86
51,75.62
52,60.62
53,10.0
54,10.0
55,10.0
56,10.0
57,10.0
58,10.0
59,10.0
60,10.0
61,10.0
62,10.0
63,10.0
64,10.0
65,10.0
66,10.0
67,10.0
68,10.0
69,10.0
70,10.0
71,10.0
72,10.0
73,10.0
74,10.0
75,10.0
76,10.0
77,10.0
78,10.0
79,10.0
80,10.0
81,10.0
82,10.0
83,10.0
84,10.0
85,10.0
86,10.0
87,10.0
88,10.0
89,10.0
90,10.0
91,10.0
92,10.0
93,10.0
94,10.0
95,10.0
96,10.0
97,10.0
98,10.0
99,10.0
100,10.0
101,10.0
102,10.0
103,10.0
104,10.0
105,10.0
106,10.0
107,10.0
108,10.0
109,10.0
110,10.0
111,10.0
112,10.0
113,10.0
114,10.0
115,10.0
116,10.0
117,10.0
118,10.0
119,10.0
120,10.0
121,10.0
122,10.0
123,10.0
124,10.0
125,10.0
126,10.0
127,10.0
128,10.0
129,10.0
130,10.0
131,10.0
132,10.0
133,10.0
134,10.0
135,10.0
136,10.0
137,10.0
138,10.0
139,10.0
140,10.0
141,10.0
142,10.0
143,10.0
144,10.0
145,10.0
146,10.0
147,10.0
148,10.0
149,10.0
