round,server_test_acc
0,27.1
1,10.0
2,18.07
3,14.03
4,21.96
5,29.3
6,18.77
7,31.45
8,37.04
9,22.78
10,18.82
11,25.06
12,35.93
13,34.49
14,36.73
15,37.48
16,49.2
17,39.8
18,42.8
19,43.79
20,47.08
21,47.14
22,53.19
23,47.52
24,58.04
25,42.42
26,47.27
27,49.66
28,54.02
29,51.18
30,49.25
31,52.98
32,54.81
33,53.56
34,58.55
35,51.57
36,59.42
37,62.87
38,56.53
39,61.22
40,63.74
41,60.92
42,53.1
43,59.4
44,58.51
45,55.33
46,51.3
47,58.15
48,58.37
49,60.05
50,69.77
51,68.04
52,67.83
53,52.25
54,63.92
55,63.46
56,68.85
57,72.51
58,64.74
59,63.81
60,66.28
61,65.29
62,63.7
63,69.69
64,62.64
65,64.84
66,65.95
67,69.09
68,69.89
69,62.17
70,66.06
71,61.85
72,57.23
73,71.75
74,59.24
75,61.11
76,63.33
77,56.5
78,65.58
79,67.87
80,63.89
81,67.98
82,64.52
83,68.9
84,68.59
85,69.31
86,65.4
87,66.79
88,70.94
89,65.06
90,65.04
91,63.29
92,67.85
93,62.07
94,64.93
95,72.04
96,70.24
97,68.58
98,75.05
99,65.56
100,62.14
101,67.16
102,73.22
103,70.84
104,75.5
105,75.04
106,65.25
107,63.91
108,72.18
109,76.22
110,74.3
111,64.3
112,74.8
113,76.83
114,70.44
115,72.89
116,70.74
117,66.44
118,76.79
119,71.52
120,64.9
121,71.09
122,77.92
123,78.48
124,74.48
125,58.3
126,69.78
127,74.97
128,70.47
129,74.37
130,62.33
131,65.21
132,74.18
133,73.45
134,72.71
135,72.28
136,76.27
137,73.65
138,70.38
139,71.04
140,76.13
141,72.74
142,74.74
143,70.48
144,70.78
145,74.47
146,77.58
147,79.47
148,78.87
149,80.43
