round,server_test_acc
0,45.4
1,28.1
2,41.03
3,39.21
4,62.34
5,63.22
6,50.26
7,61.27
8,64.93
9,65.02
10,72.57
11,69.51
12,61.64
13,69.69
14,71.3
15,69.66
16,68.35
17,66.91
18,71.0
19,72.17
20,67.82
21,73.76
22,73.63
23,68.35
24,73.53
25,73.84
26,69.55
27,73.04
28,71.72
29,74.01
30,75.61
31,74.89
32,72.62
33,77.15
34,72.31
35,73.96
36,75.49
37,72.18
38,74.25
39,77.33
40,74.38
41,77.67
42,76.96
43,78.13
44,76.91
45,74.32
46,74.53
47,77.46
48,72.6
49,74.23
50,77.6
51,77.76
52,73.45
53,75.63
54,69.49
55,72.52
56,74.6
57,76.52
58,73.08
59,77.23
60,72.53
61,74.47
62,71.39
63,78.13
64,78.45
65,78.27
66,78.6
67,75.12
68,74.68
69,69.93
70,72.72
71,70.57
72,74.18
73,75.89
74,76.01
75,76.19
76,71.94
77,77.08
78,72.76
79,71.18
80,73.94
81,78.68
82,79.55
83,79.42
84,77.28
85,77.0
86,78.07
87,78.07
88,74.41
89,78.24
90,72.78
91,74.29
92,77.38
93,75.15
94,77.99
95,77.07
96,78.09
97,75.72
98,77.66
99,77.99
100,75.19
101,78.17
102,77.17
103,76.11
104,77.92
105,73.24
106,78.41
107,76.72
108,77.36
109,76.9
110,78.86
111,75.68
112,78.05
113,77.24
114,76.58
115,78.86
116,78.46
117,76.32
118,75.54
119,74.97
120,77.91
121,75.57
122,76.14
123,77.48
124,74.55
125,78.49
126,78.64
127,77.91
128,74.57
129,71.59
130,78.56
131,76.62
132,76.29
133,74.25
134,76.57
135,77.53
136,76.06
137,74.63
138,75.92
139,75.95
140,73.29
141,71.29
142,74.27
143,73.58
144,76.27
145,70.81
146,72.73
147,77.58
148,73.15
149,69.16
