round,server_test_acc
0,22.07
1,39.12
2,43.17
3,54.87
4,57.43
5,61.26
6,61.09
7,66.27
8,62.51
9,58.62
10,73.42
11,67.15
12,68.51
13,68.42
14,72.02
15,72.51
16,74.14
17,73.15
18,73.96
19,72.16
20,75.35
21,72.22
22,75.26
23,74.1
24,70.85
25,68.32
26,76.58
27,77.3
28,77.06
29,76.1
30,77.71
31,69.46
32,77.76
33,77.93
34,78.08
35,77.61
36,68.01
37,78.31
38,75.05
39,79.16
40,75.32
41,76.51
42,75.08
43,74.36
44,77.79
45,78.27
46,79.09
47,75.22
48,79.94
49,80.06
50,80.49
51,65.89
52,62.75
53,30.33
54,10.0
55,10.0
56,10.0
57,10.0
58,10.0
59,10.0
60,10.0
61,10.0
62,10.0
63,10.0
64,10.0
65,10.0
66,10.0
67,10.0
68,10.0
69,10.0
70,10.0
71,10.0
72,10.0
73,10.0
74,10.0
75,10.0
76,10.0
77,10.0
78,10.0
79,10.0
80,10.0
81,10.0
82,10.0
83,10.0
84,10.0
85,10.0
86,10.0
87,10.0
88,10.0
89,10.0
90,10.0
91,10.0
92,10.0
93,10.0
94,10.0
95,10.0
96,10.0
97,10.0
98,10.0
99,10.0
100,10.0
101,10.0
102,10.0
103,10.0
104,10.0
105,10.0
106,10.0
107,10.0
108,10.0
109,10.0
110,10.0
111,10.0
112,10.0
113,10.0
114,10.0
115,10.0
116,10.0
117,10.0
118,10.0
119,10.0
120,10.0
121,10.0
122,10.0
123,10.0
124,10.0
125,10.0
126,10.0
127,10.0
128,10.0
129,10.0
130,10.0
131,10.0
132,10.0
133,10.0
134,10.0
135,10.0
136,10.0
137,10.0
138,10.0
139,10.0
140,10.0
141,10.0
142,10.0
143,10.0
144,10.0
145,10.0
146,10.0
147,10.0
148,10.0
149,10.0
