round,average,clipping_median,cos_defense,dual_defense,fedavg,krum,our,trimmed_mean
0,19.61,20.97,10.0,16.96,13.37,27.1,45.4,22.07
1,51.76,12.71,25.02,18.05,42.96,10.0,28.1,39.12
2,52.56,29.77,44.03,27.75,50.5,18.07,41.03,43.17
3,60.58,38.26,43.37,33.61,53.61,14.03,39.21,54.87
4,47.63,47.3,59.6,29.45,60.07,21.96,62.34,57.43
5,56.9,46.55,58.5,40.72,58.75,29.3,63.22,61.26
6,69.31,52.09,55.04,41.33,67.21,18.77,50.26,61.09
7,67.3,52.41,62.82,44.49,70.64,31.45,61.27,66.27
8,68.47,58.84,65.49,50.96,65.12,37.04,64.93,62.51
9,70.34,47.63,59.65,56.04,72.12,22.78,65.02,58.62
10,74.32,45.16,64.89,51.97,73.94,18.82,72.57,73.42
11,74.67,48.66,70.38,64.97,65.1,25.06,69.51,67.15
12,64.38,58.14,61.47,67.57,73.44,35.93,61.64,68.51
13,67.54,56.95,55.92,62.54,73.55,34.49,69.69,68.42
14,71.06,59.76,73.48,69.54,73.96,36.73,71.3,72.02
15,70.7,57.8,61.43,64.17,72.49,37.48,69.66,72.51
16,74.8,62.75,67.41,65.71,68.22,49.2,68.35,74.14
17,73.34,61.77,65.08,68.26,74.14,39.8,66.91,73.15
18,75.3,59.92,65.19,63.24,75.8,42.8,71.0,73.96
19,69.4,60.87,70.59,69.38,77.8,43.79,72.17,72.16
20,75.53,58.4,72.13,63.62,74.1,47.08,67.82,75.35
21,69.2,64.35,70.97,67.29,75.79,47.14,73.76,72.22
22,77.1,62.18,72.42,59.01,75.58,53.19,73.63,75.26
23,77.59,60.61,74.59,66.74,72.32,47.52,68.35,74.1
24,77.29,60.57,65.46,66.3,68.61,58.04,73.53,70.85
25,74.03,62.01,64.07,64.26,75.56,42.42,73.84,68.32
26,77.74,69.59,75.71,66.8,75.93,47.27,69.55,76.58
27,72.78,63.8,73.77,52.77,77.41,49.66,73.04,77.3
28,78.78,61.15,75.47,66.3,70.92,54.02,71.72,77.06
29,79.24,67.59,75.5,71.78,76.07,51.18,74.01,76.1
30,79.39,61.36,76.86,74.52,77.89,49.25,75.61,77.71
31,77.81,65.87,74.18,75.7,80.19,52.98,74.89,69.46
32,73.5,69.54,75.62,74.34,79.67,54.81,72.62,77.76
33,78.93,62.18,73.37,68.16,74.83,53.56,77.15,77.93
34,79.65,58.89,73.51,68.06,77.66,58.55,72.31,78.08
35,79.32,71.18,74.22,69.94,76.6,51.57,73.96,77.61
36,77.73,67.99,77.13,73.86,78.35,59.42,75.49,68.01
37,76.34,71.58,78.75,74.67,79.48,62.87,72.18,78.31
38,79.67,72.27,74.07,73.16,74.78,56.53,74.25,75.05
39,80.84,71.24,71.92,71.14,79.13,61.22,77.33,79.16
40,78.45,69.17,71.18,69.87,81.32,63.74,74.38,75.32
41,77.05,69.78,75.47,73.12,75.11,60.92,77.67,76.51
42,80.07,71.46,76.83,70.85,80.74,53.1,76.96,75.08
43,79.72,72.77,78.36,69.66,75.75,59.4,78.13,74.36
44,80.88,72.56,77.88,74.35,79.17,58.51,76.91,77.79
45,81.2,68.24,76.09,71.65,81.01,55.33,74.32,78.27
46,76.57,64.33,78.2,73.29,70.92,51.3,74.53,79.09
47,79.94,71.06,79.39,72.41,78.84,58.15,77.46,75.22
48,80.25,69.15,75.52,72.1,81.28,58.37,72.6,79.94
49,80.39,71.05,72.42,75.99,78.91,60.05,74.23,80.06
50,76.49,74.72,79.25,74.56,76.86,69.77,77.6,80.49
51,77.12,70.75,74.52,76.95,75.62,68.04,77.76,65.89
52,38.31,69.06,55.82,71.12,60.62,67.83,73.45,62.75
53,10.0,73.16,10.05,66.75,10.0,52.25,75.63,30.33
54,10.0,72.47,10.03,10.0,10.0,63.92,69.49,10.0
55,10.0,73.19,10.03,10.0,10.0,63.46,72.52,10.0
56,10.0,69.57,10.02,10.0,10.0,68.85,74.6,10.0
57,10.0,73.27,10.02,10.0,10.0,72.51,76.52,10.0
58,10.0,66.08,10.02,10.0,10.0,64.74,73.08,10.0
59,10.0,71.9,10.02,10.0,10.0,63.81,77.23,10.0
60,10.0,72.2,10.02,10.0,10.0,66.28,72.53,10.0
61,10.0,76.11,10.02,10.0,10.0,65.29,74.47,10.0
62,10.0,75.29,10.02,10.0,10.0,63.7,71.39,10.0
63,10.0,73.4,10.02,10.0,10.0,69.69,78.13,10.0
64,10.0,74.11,10.02,10.0,10.0,62.64,78.45,10.0
65,10.0,74.53,10.02,10.0,10.0,64.84,78.27,10.0
66,10.0,76.54,10.02,10.0,10.0,65.95,78.6,10.0
67,10.0,75.83,10.02,10.0,10.0,69.09,75.12,10.0
68,10.0,77.11,10.02,10.0,10.0,69.89,74.68,10.0
69,10.0,74.62,10.02,10.0,10.0,62.17,69.93,10.0
70,10.0,73.65,10.02,10.0,10.0,66.06,72.72,10.0
71,10.0,77.51,10.02,10.0,10.0,61.85,70.57,10.0
72,10.0,76.7,10.02,10.0,10.0,57.23,74.18,10.0
73,10.0,75.98,10.02,10.0,10.0,71.75,75.89,10.0
74,10.0,75.64,10.02,10.0,10.0,59.24,76.01,10.0
75,10.0,75.03,10.02,10.0,10.0,61.11,76.19,10.0
76,10.0,75.35,10.02,10.0,10.0,63.33,71.94,10.0
77,10.0,76.45,10.02,10.0,10.0,56.5,77.08,10.0
78,10.0,74.44,10.02,10.0,10.0,65.58,72.76,10.0
79,10.0,74.53,10.02,10.0,10.0,67.87,71.18,10.0
80,10.0,75.97,10.02,10.0,10.0,63.89,73.94,10.0
81,10.0,74.7,10.02,10.0,10.0,67.98,78.68,10.0
82,10.0,75.34,10.02,10.0,10.0,64.52,79.55,10.0
83,10.0,77.7,10.02,10.0,10.0,68.9,79.42,10.0
84,10.0,75.8,10.02,10.0,10.0,68.59,77.28,10.0
85,10.0,76.39,10.02,10.0,10.0,69.31,77.0,10.0
86,10.0,76.09,10.02,10.0,10.0,65.4,78.07,10.0
87,10.0,78.08,10.02,10.0,10.0,66.79,78.07,10.0
88,10.0,73.21,10.02,10.0,10.0,70.94,74.41,10.0
89,10.0,72.94,10.02,10.0,10.0,65.06,78.24,10.0
90,10.0,75.91,10.02,10.0,10.0,65.04,72.78,10.0
91,10.0,71.95,10.02,10.0,10.0,63.29,74.29,10.0
92,10.0,77.19,10.02,10.0,10.0,67.85,77.38,10.0
93,10.0,71.38,10.02,10.0,10.0,62.07,75.15,10.0
94,10.0,77.1,10.02,10.0,10.0,64.93,77.99,10.0
95,10.0,77.47,10.02,10.0,10.0,72.04,77.07,10.0
96,10.0,75.64,10.02,10.0,10.0,70.24,78.09,10.0
97,10.0,76.0,10.02,10.0,10.0,68.58,75.72,10.0
98,10.0,76.34,10.02,10.0,10.0,75.05,77.66,10.0
