round,server_test_acc
0,10.1
1,27.62
2,59.35
3,72.43
4,71.21
5,81.25
6,89.15
7,91.5
8,88.63
9,91.57
10,91.21
11,92.4
12,92.18
13,91.52
14,95.03
15,93.62
16,95.11
17,93.99
18,95.55
19,94.66
20,95.68
21,95.02
22,95.78
23,95.82
24,96.24
25,96.03
26,96.29
27,96.8
28,96.47
29,96.89
30,96.73
31,96.83
32,97.04
33,97.15
34,97.15
35,96.7
36,96.59
37,97.27
38,97.02
39,97.25
40,97.33
41,96.67
42,97.48
43,97.16
44,97.52
45,97.59
46,97.6
47,97.53
48,97.43
49,97.36
50,97.63
51,96.77
52,97.28
53,97.13
54,96.73
55,96.71
56,96.25
57,95.36
58,96.76
59,96.71
60,96.74
61,96.46
62,96.49
63,96.81
64,95.82
65,95.98
66,96.91
67,96.49
68,96.31
69,96.74
70,96.46
71,95.63
72,96.39
73,96.69
74,96.17
75,96.46
76,96.0
77,96.78
78,95.97
79,96.8
80,95.99
81,96.74
82,95.53
83,96.56
84,96.78
85,97.17
86,97.0
87,96.39
88,96.99
89,96.85
90,96.23
91,96.74
92,96.58
93,96.49
94,96.7
95,96.95
96,96.73
97,96.6
98,96.57
99,96.49
100,96.81
101,96.67
102,96.47
103,96.68
104,96.9
105,96.41
106,96.11
107,96.16
108,95.84
109,96.07
110,96.75
111,96.71
112,96.27
113,96.35
114,97.29
115,96.66
116,96.86
117,96.16
118,96.65
119,96.11
120,97.04
121,96.89
122,96.29
123,96.39
124,96.36
125,96.28
126,96.09
127,96.83
128,96.96
129,97.15
130,96.82
131,96.77
132,96.25
133,96.43
134,96.41
135,96.93
136,96.56
137,96.56
138,96.75
139,96.68
140,96.47
141,97.06
142,97.12
143,96.9
144,96.56
145,96.01
146,96.13
147,96.11
148,96.8
149,96.84
