round,server_test_acc
0,10.14
1,31.16
2,51.35
3,50.54
4,46.09
5,52.56
6,64.24
7,62.21
8,64.01
9,75.56
10,72.03
11,80.06
12,78.61
13,84.26
14,85.17
15,86.45
16,85.55
17,87.81
18,88.63
19,79.45
20,79.39
21,81.44
22,82.79
23,89.2
24,88.08
25,90.06
26,89.84
27,92.18
28,92.31
29,90.72
30,91.77
31,92.92
32,89.12
33,88.01
34,88.64
35,91.82
36,93.41
37,93.19
38,94.08
39,94.0
40,91.71
41,92.43
42,94.25
43,94.03
44,93.63
45,94.59
46,93.96
47,94.54
48,93.09
49,94.81
50,94.09
51,93.29
52,94.15
53,94.41
54,94.91
55,95.36
56,95.27
57,94.99
58,93.6
59,95.33
60,95.27
61,94.66
62,95.41
63,95.49
64,95.62
65,95.46
66,95.81
67,95.97
68,95.82
69,95.72
70,95.85
71,95.45
72,95.56
73,95.71
74,95.96
75,96.29
76,96.17
77,95.92
78,96.33
79,95.98
80,95.94
81,96.17
82,96.13
83,95.74
84,95.78
85,95.75
86,95.98
87,96.02
88,95.96
89,96.27
90,96.34
91,95.17
92,95.9
93,96.17
94,95.96
95,95.77
96,96.35
97,96.79
98,96.37
99,95.91
100,94.82
101,95.66
102,96.16
103,96.24
104,95.93
105,96.24
106,96.56
107,95.98
108,95.46
109,95.8
110,95.86
111,96.38
112,96.35
113,95.81
114,96.69
115,94.94
116,96.41
117,96.41
118,96.35
119,96.28
120,96.35
121,96.55
122,96.88
123,96.59
124,96.41
125,96.67
126,96.68
127,96.38
128,96.69
129,96.0
130,96.88
131,97.01
132,96.85
133,97.08
134,96.68
135,96.72
136,96.12
137,96.59
138,96.6
139,96.69
140,96.46
141,95.87
142,96.63
143,95.65
144,96.59
145,96.74
146,96.72
147,96.75
148,96.85
149,96.81
