round,server_test_acc
0,10.38
1,30.04
2,24.79
3,34.1
4,44.24
5,60.79
6,60.16
7,77.37
8,79.96
9,90.05
10,86.05
11,92.82
12,90.4
13,93.44
14,91.39
15,93.89
16,94.13
17,94.23
18,93.45
19,92.05
20,94.63
21,94.46
22,93.63
23,94.48
24,95.08
25,93.96
26,94.54
27,93.65
28,94.56
29,94.69
30,96.32
31,96.36
32,95.79
33,92.34
34,95.71
35,94.97
36,95.62
37,96.31
38,95.87
39,96.2
40,96.85
41,95.25
42,96.25
43,95.36
44,96.33
45,96.23
46,95.81
47,96.7
48,97.07
49,96.22
50,95.46
51,97.16
52,96.18
53,96.44
54,96.95
55,96.65
56,96.95
57,97.53
58,97.02
59,96.92
60,97.22
61,97.5
62,96.94
63,97.53
64,97.6
65,97.7
66,96.63
67,97.62
68,97.44
69,97.7
70,97.79
71,97.98
72,97.96
73,97.62
74,97.47
75,97.59
76,97.69
77,97.28
78,97.5
79,98.04
80,98.11
81,98.11
82,97.81
83,97.35
84,97.96
85,97.99
86,97.45
87,97.93
88,97.89
89,98.15
90,97.85
91,97.99
92,98.06
93,98.19
94,98.18
95,98.2
96,98.13
97,98.19
98,97.91
99,98.13
100,98.25
101,98.12
102,98.23
103,98.13
104,97.95
105,97.96
106,98.4
107,98.48
108,98.04
109,98.51
110,98.2
111,98.15
112,98.55
113,98.3
114,98.38
115,98.21
116,98.43
117,98.31
118,98.48
119,98.59
120,98.38
121,98.21
122,98.32
123,98.44
124,98.65
125,98.59
126,98.46
127,98.56
128,98.49
129,98.53
130,98.68
131,98.46
132,98.25
133,98.53
134,98.56
135,98.35
136,98.48
137,98.51
138,98.68
139,98.62
140,98.6
141,98.47
142,98.44
143,98.58
144,98.5
145,98.64
146,98.52
147,98.58
148,98.46
149,98.37
