round,server_test_acc
0,10.2
1,19.77
2,26.82
3,44.63
4,40.47
5,49.09
6,60.18
7,71.47
8,70.14
9,79.43
10,68.4
11,82.08
12,81.63
13,83.49
14,80.06
15,86.11
16,89.05
17,90.77
18,91.78
19,93.68
20,94.46
21,92.68
22,90.58
23,91.9
24,93.99
25,82.84
26,93.34
27,90.19
28,94.99
29,95.48
30,93.76
31,95.73
32,95.41
33,95.05
34,94.09
35,94.45
36,94.12
37,94.51
38,92.83
39,95.2
40,96.45
41,95.98
42,93.66
43,95.99
44,94.26
45,94.4
46,94.82
47,96.5
48,96.96
49,96.58
50,95.82
51,51.37
52,43.32
53,23.96
54,71.72
55,81.83
56,81.63
57,88.16
58,72.83
59,87.58
60,89.53
61,92.48
62,93.31
63,93.02
64,93.77
65,93.83
66,94.26
67,93.26
68,95.31
69,94.97
70,95.38
71,95.55
72,95.71
73,95.3
74,95.53
75,95.47
76,95.39
77,94.69
78,95.65
79,94.66
80,95.99
81,96.14
82,95.96
83,95.73
84,95.56
85,95.62
86,95.88
87,95.39
88,94.62
89,96.13
90,94.67
91,94.62
92,96.52
93,96.75
94,96.3
95,95.12
96,95.67
97,96.01
98,96.79
99,96.4
100,96.69
101,96.88
102,96.65
103,96.79
104,96.32
105,96.21
106,96.91
107,96.09
108,96.66
109,97.25
110,96.87
111,95.67
112,97.01
113,97.05
114,96.93
115,97.01
116,96.98
117,97.04
118,96.88
119,97.1
120,97.08
121,97.05
122,97.47
123,97.07
124,97.39
125,97.49
126,97.21
127,96.83
128,97.53
129,96.52
130,97.06
131,97.32
132,97.14
133,96.69
134,97.54
135,97.66
136,97.54
137,96.93
138,97.3
139,97.18
140,97.28
141,97.12
142,97.43
143,97.32
144,96.88
145,97.28
146,97.13
147,97.64
148,97.49
149,97.34
