round,server_test_acc
0,33.77
1,57.5
2,63.24
3,76.5
4,84.37
5,89.46
6,85.71
7,87.5
8,92.29
9,93.83
10,93.57
11,94.48
12,94.86
13,95.16
14,95.03
15,95.05
16,96.09
17,95.7
18,95.76
19,95.98
20,95.08
21,96.89
22,96.44
23,96.44
24,95.85
25,96.84
26,96.84
27,97.26
28,96.61
29,97.19
30,97.65
31,97.46
32,97.55
33,97.65
34,97.34
35,97.84
36,97.62
37,96.94
38,97.87
39,97.97
40,97.59
41,97.98
42,97.97
43,97.88
44,97.85
45,98.12
46,97.81
47,98.12
48,98.14
49,98.16
50,97.97
51,98.06
52,97.26
53,97.53
54,97.0
55,97.55
56,97.36
57,97.08
58,97.76
59,96.56
60,96.2
61,96.42
62,96.21
63,97.25
64,97.1
65,96.04
66,96.94
67,94.66
68,96.57
69,96.83
70,96.87
71,96.74
72,96.73
73,96.78
74,97.34
75,97.08
76,97.28
77,96.6
78,96.44
79,96.85
80,96.65
81,96.47
82,96.24
83,95.64
84,95.22
85,95.68
86,96.35
87,95.93
88,95.82
89,96.24
90,96.07
91,96.56
92,96.63
93,96.14
94,95.9
95,95.66
96,96.88
97,96.06
98,96.35
99,96.39
100,95.67
101,96.42
102,96.54
103,96.14
104,95.73
105,96.59
106,96.47
107,96.11
108,96.12
109,96.79
110,96.3
111,96.75
112,97.03
113,96.96
114,96.65
115,96.68
116,96.19
117,96.06
118,96.75
119,96.8
120,95.77
121,96.5
122,96.35
123,96.56
124,96.74
125,96.3
126,96.71
127,96.95
128,96.66
129,96.59
130,96.32
131,96.4
132,96.25
133,96.45
134,96.34
135,96.7
136,96.03
137,96.47
138,96.77
139,96.62
140,97.21
141,96.91
142,96.49
143,96.8
144,96.25
145,96.57
146,95.83
147,96.45
148,96.23
149,96.86
