round,server_test_acc
0,9.75
1,9.74
2,11.35
3,15.75
4,11.35
5,24.81
6,10.09
7,9.82
8,9.82
9,20.76
10,10.32
11,10.09
12,31.37
13,11.94
14,12.54
15,32.27
16,11.9
17,41.86
18,55.66
19,29.58
20,40.88
21,49.05
22,51.82
23,54.45
24,50.77
25,59.63
26,52.45
27,71.51
28,80.01
29,74.21
30,63.12
31,77.27
32,76.0
33,87.01
34,77.25
35,67.42
36,77.85
37,89.47
38,85.5
39,80.87
40,87.96
41,81.5
42,51.86
43,77.54
44,79.07
45,72.22
46,73.57
47,83.84
48,86.69
49,88.06
50,80.87
51,80.63
52,83.18
53,73.24
54,81.16
55,82.35
56,86.22
57,91.38
58,93.84
59,89.99
60,90.39
61,83.04
62,87.67
63,87.08
64,90.96
65,90.0
66,92.15
67,91.34
68,92.78
69,92.52
70,93.21
71,92.42
72,84.13
73,89.85
74,87.1
75,93.55
76,93.67
77,90.07
78,87.83
79,91.34
80,92.12
81,90.46
82,89.7
83,94.98
84,92.38
85,90.34
86,88.7
87,93.12
88,91.94
89,93.93
90,94.32
91,92.57
92,93.98
93,94.22
94,94.75
95,93.93
96,93.83
97,93.24
98,92.88
99,92.41
100,94.73
101,93.95
102,92.71
103,95.04
104,95.81
105,93.24
106,93.74
107,89.44
108,88.0
109,88.46
110,92.4
111,91.88
112,91.45
113,93.62
114,92.64
115,94.65
116,94.46
117,94.31
118,95.19
119,95.5
120,95.6
121,95.83
122,95.61
123,94.66
124,94.6
125,94.43
126,94.36
127,92.44
128,89.24
129,93.79
130,95.1
131,93.04
132,94.29
133,95.01
134,92.99
135,95.06
136,92.87
137,93.76
138,93.67
139,95.06
140,95.72
141,95.46
142,91.17
143,95.11
144,94.26
145,95.76
146,94.35
147,94.57
148,94.48
149,91.07
