round,server_test_acc
0,9.42
1,16.68
2,44.44
3,47.07
4,58.28
5,77.26
6,74.58
7,84.09
8,88.41
9,86.94
10,87.76
11,87.12
12,92.29
13,92.28
14,92.04
15,92.91
16,93.85
17,94.11
18,91.73
19,94.6
20,93.36
21,95.48
22,94.98
23,94.67
24,95.19
25,93.12
26,95.41
27,95.35
28,93.82
29,95.61
30,95.82
31,96.11
32,94.56
33,95.89
34,96.32
35,96.66
36,96.45
37,96.78
38,96.53
39,96.76
40,96.58
41,96.53
42,96.43
43,96.43
44,96.37
45,96.51
46,96.72
47,96.14
48,96.93
49,96.44
50,96.68
51,97.01
52,96.92
53,96.58
54,97.11
55,96.87
56,97.01
57,96.51
58,95.78
59,96.34
60,97.08
61,97.15
62,96.98
63,97.29
64,97.28
65,97.0
66,97.5
67,97.44
68,96.98
69,96.09
70,97.35
71,97.39
72,97.25
73,96.96
74,97.62
75,97.55
76,97.37
77,97.39
78,96.51
79,97.65
80,97.49
81,97.3
82,97.75
83,97.61
84,97.48
85,97.79
86,97.64
87,97.76
88,97.77
89,97.73
90,97.35
91,98.04
92,97.59
93,98.03
94,97.46
95,97.23
96,97.52
97,97.84
98,97.39
99,97.73
100,97.96
101,97.94
102,97.05
103,97.85
104,97.67
105,97.82
106,97.99
107,97.82
108,98.01
109,97.99
110,97.5
111,97.58
112,97.99
113,98.14
114,98.11
115,97.89
116,97.92
117,97.61
118,97.82
119,98.05
120,98.02
121,98.1
122,98.14
123,97.46
124,98.14
125,97.74
126,98.14
127,97.93
128,98.35
129,98.07
130,98.2
131,98.13
132,97.51
133,98.27
134,98.12
135,98.22
136,97.7
137,97.9
138,98.15
139,98.21
140,98.18
141,97.73
142,98.0
143,98.15
144,98.25
145,98.19
146,97.8
147,98.41
148,98.17
149,98.13
