round,server_test_acc
0,21.33
1,42.24
2,57.57
3,75.25
4,80.21
5,80.9
6,89.62
7,91.21
8,92.98
9,91.42
10,93.88
11,93.07
12,94.49
13,94.53
14,94.91
15,95.09
16,94.4
17,95.62
18,95.79
19,95.8
20,95.54
21,95.57
22,95.75
23,94.66
24,96.46
25,95.65
26,96.1
27,96.62
28,96.64
29,95.92
30,96.48
31,96.52
32,96.9
33,96.95
34,97.13
35,96.96
36,97.07
37,96.91
38,97.22
39,97.19
40,96.98
41,97.53
42,97.52
43,97.27
44,97.18
45,97.19
46,97.32
47,97.59
48,97.52
49,97.67
50,97.53
51,97.59
52,97.16
53,97.41
54,97.02
55,97.39
56,97.68
57,97.44
58,97.27
59,97.34
60,97.21
61,97.29
62,97.12
63,97.02
64,97.3
65,96.88
66,96.89
67,97.63
68,97.42
69,97.31
70,97.53
71,97.16
72,97.43
73,96.83
74,96.52
75,97.42
76,97.17
77,97.47
78,97.18
79,97.8
80,97.55
81,97.85
82,97.57
83,97.68
84,97.55
85,97.62
86,97.29
87,97.63
88,97.76
89,97.72
90,97.48
91,97.6
92,96.97
93,97.57
94,97.63
95,97.82
96,97.72
97,97.68
98,97.55
99,97.63
100,97.71
101,97.6
102,97.48
103,97.83
104,97.86
105,97.66
106,97.76
107,97.75
108,97.82
109,97.74
110,97.81
111,97.13
112,97.7
113,97.7
114,97.64
115,97.76
116,97.67
117,97.51
118,97.72
119,97.4
120,97.53
121,97.4
122,97.81
123,98.0
124,97.65
125,97.93
126,97.95
127,97.97
128,97.83
129,97.89
130,97.76
131,97.45
132,97.76
133,97.68
134,97.91
135,98.05
136,97.92
137,97.96
138,97.7
139,98.01
140,98.05
141,98.2
142,97.78
143,97.4
144,97.92
145,98.16
146,97.97
147,98.1
148,98.19
149,98.26
