round,average,clipping_median,cos_defense,dual_defense,fedavg,krum,our,trimmed_mean
0,10.1,10.14,10.38,10.2,33.77,9.75,9.42,21.33
1,27.62,31.16,30.04,19.77,57.5,9.74,16.68,42.24
2,59.35,51.35,24.79,26.82,63.24,11.35,44.44,57.57
3,72.43,50.54,34.1,44.63,76.5,15.75,47.07,75.25
4,71.21,46.09,44.24,40.47,84.37,11.35,58.28,80.21
5,81.25,52.56,60.79,49.09,89.46,24.81,77.26,80.9
6,89.15,64.24,60.16,60.18,85.71,10.09,74.58,89.62
7,91.5,62.21,77.37,71.47,87.5,9.82,84.09,91.21
8,88.63,64.01,79.96,70.14,92.29,9.82,88.41,92.98
9,91.57,75.56,90.05,79.43,93.83,20.76,86.94,91.42
10,91.21,72.03,86.05,68.4,93.57,10.32,87.76,93.88
11,92.4,80.06,92.82,82.08,94.48,10.09,87.12,93.07
12,92.18,78.61,90.4,81.63,94.86,31.37,92.29,94.49
13,91.52,84.26,93.44,83.49,95.16,11.94,92.28,94.53
14,95.03,85.17,91.39,80.06,95.03,12.54,92.04,94.91
15,93.62,86.45,93.89,86.11,95.05,32.27,92.91,95.09
16,95.11,85.55,94.13,89.05,96.09,11.9,93.85,94.4
17,93.99,87.81,94.23,90.77,95.7,41.86,94.11,95.62
18,95.55,88.63,93.45,91.78,95.76,55.66,91.73,95.79
19,94.66,79.45,92.05,93.68,95.98,29.58,94.6,95.8
20,95.68,79.39,94.63,94.46,95.08,40.88,93.36,95.54
21,95.02,81.44,94.46,92.68,96.89,49.05,95.48,95.57
22,95.78,82.79,93.63,90.58,96.44,51.82,94.98,95.75
23,95.82,89.2,94.48,91.9,96.44,54.45,94.67,94.66
24,96.24,88.08,95.08,93.99,95.85,50.77,95.19,96.46
25,96.03,90.06,93.96,82.84,96.84,59.63,93.12,95.65
26,96.29,89.84,94.54,93.34,96.84,52.45,95.41,96.1
27,96.8,92.18,93.65,90.19,97.26,71.51,95.35,96.62
28,96.47,92.31,94.56,94.99,96.61,80.01,93.82,96.64
29,96.89,90.72,94.69,95.48,97.19,74.21,95.61,95.92
30,96.73,91.77,96.32,93.76,97.65,63.12,95.82,96.48
31,96.83,92.92,96.36,95.73,97.46,77.27,96.11,96.52
32,97.04,89.12,95.79,95.41,97.55,76.0,94.56,96.9
33,97.15,88.01,92.34,95.05,97.65,87.01,95.89,96.95
34,97.15,88.64,95.71,94.09,97.34,77.25,96.32,97.13
