round,server_test_acc
0,21.04
1,39.82
2,72.02
3,67.77
4,79.59
5,78.63
6,91.24
7,89.01
8,90.72
9,93.11
10,94.16
11,94.01
12,92.92
13,94.89
14,94.68
15,95.36
16,94.73
17,95.55
18,95.46
19,96.03
20,96.34
21,96.36
22,96.06
23,95.21
24,96.14
25,96.54
26,96.79
27,96.34
28,97.15
29,97.23
30,97.12
31,97.19
32,97.34
33,96.73
34,97.44
35,96.86
36,97.29
37,97.61
38,97.47
39,97.8
40,97.57
41,97.9
42,97.82
43,97.36
44,97.51
45,97.86
46,97.67
47,97.78
48,97.82
49,97.8
50,97.73
51,92.61
52,58.97
53,10.32
54,10.32
55,9.8
56,9.8
57,9.8
58,9.8
59,9.8
60,9.8
61,9.8
62,9.8
63,9.8
64,9.8
65,9.8
66,9.8
67,9.8
68,9.8
69,9.8
70,9.8
71,9.8
72,9.8
73,9.8
74,9.8
75,9.8
76,9.8
77,9.8
78,9.8
79,9.8
80,9.8
81,9.8
82,9.8
83,9.8
84,9.8
85,9.8
86,9.8
87,9.8
88,9.8
89,9.8
90,9.8
91,9.8
92,9.8
93,9.8
94,9.8
95,9.8
96,9.8
97,9.8
98,9.8
99,9.8
