round,server_test_acc
0,40.47
1,11.97
2,28.21
3,45.73
4,44.27
5,62.98
6,53.7
7,52.6
8,72.03
9,80.72
10,83.25
11,84.64
12,83.5
13,84.97
14,81.17
15,86.53
16,90.47
17,88.95
18,90.3
19,91.89
20,91.3
21,92.03
22,91.53
23,92.29
24,92.57
25,93.35
26,93.08
27,90.37
28,92.26
29,92.85
30,92.76
31,92.55
32,93.16
33,93.47
34,92.81
35,93.51
36,93.09
37,93.65
38,94.32
39,94.09
40,94.38
41,93.97
42,92.86
43,94.39
44,94.15
45,93.17
46,94.67
47,94.46
48,94.28
49,94.02
50,91.93
51,94.7
52,93.34
53,93.18
54,93.65
55,92.43
56,94.77
57,94.36
58,90.48
59,92.8
60,93.61
61,92.26
62,92.88
63,92.1
64,90.67
65,93.36
66,94.61
67,94.82
68,95.06
69,94.59
70,94.12
71,93.19
72,93.76
73,94.34
74,92.48
75,93.52
76,93.59
77,94.74
78,93.98
79,94.66
80,95.39
81,93.69
82,94.29
83,95.54
84,94.64
85,93.16
86,95.04
87,93.75
88,93.69
89,93.31
90,95.2
91,94.05
92,94.23
93,95.09
94,95.2
95,90.32
96,95.52
97,95.3
98,95.51
99,93.09
