round,server_test_acc
0,11.78
1,10.31
2,19.51
3,13.64
4,38.54
5,65.34
6,66.81
7,74.26
8,91.21
9,89.67
10,92.32
11,90.03
12,82.37
13,92.11
14,93.47
15,93.02
16,93.35
17,92.79
18,94.75
19,90.69
20,92.93
21,92.76
22,94.36
23,93.18
24,94.53
25,95.5
26,94.84
27,95.55
28,94.27
29,94.6
30,95.97
31,95.85
32,95.86
33,96.26
34,95.01
35,96.45
36,96.51
37,96.35
38,96.58
39,96.34
40,96.01
41,96.89
42,96.45
43,96.47
44,96.22
45,96.85
46,96.76
47,96.57
48,96.89
49,97.14
50,96.11
51,97.16
52,97.47
53,97.13
54,97.43
55,97.07
56,96.72
57,97.28
58,97.57
59,96.47
60,96.93
61,97.52
62,97.58
63,97.53
64,97.53
65,97.65
66,97.12
67,95.44
68,97.58
69,97.0
70,97.94
71,97.82
72,97.94
73,97.42
74,97.89
75,97.87
76,97.76
77,98.17
78,98.23
79,97.93
80,98.15
81,97.92
82,98.09
83,98.24
84,98.04
85,98.03
86,98.14
87,98.07
88,97.98
89,98.14
90,98.09
91,98.02
92,98.15
93,97.8
94,98.04
95,97.97
96,97.99
97,97.84
98,97.87
99,98.03
