round,server_test_acc
0,18.08
1,11.66
2,33.1
3,31.84
4,48.97
5,62.43
6,56.93
7,74.81
8,83.76
9,81.7
10,87.27
11,83.14
12,91.46
13,91.8
14,91.27
15,90.45
16,94.14
17,91.5
18,93.18
19,93.99
20,92.3
21,95.1
22,94.62
23,93.58
24,94.24
25,94.66
26,95.55
27,91.83
28,93.83
29,94.36
30,94.35
31,93.9
32,96.24
33,95.75
34,95.81
35,95.58
36,95.99
37,94.24
38,94.59
39,94.97
40,96.29
41,95.98
42,95.55
43,96.21
44,95.37
45,95.96
46,96.77
47,97.07
48,97.04
49,95.83
50,96.6
51,95.55
52,96.62
53,96.7
54,96.06
55,96.18
56,96.96
57,96.41
58,96.67
59,97.67
60,97.63
61,97.34
62,97.52
63,97.55
64,95.03
65,97.22
66,97.43
67,97.36
68,97.41
69,97.35
70,97.2
71,97.04
72,97.27
73,96.99
74,97.43
75,97.53
76,97.86
77,97.83
78,97.21
79,97.81
80,97.85
81,98.09
82,97.84
83,98.03
84,97.47
85,98.01
86,98.06
87,98.08
88,98.2
89,97.97
90,98.37
91,97.29
92,98.42
93,97.72
94,97.82
95,97.93
96,97.72
97,98.3
98,98.12
99,97.58
