round,server_test_acc
0,9.74
1,27.21
2,42.6
3,69.97
4,71.96
5,85.21
6,85.29
7,85.9
8,92.52
9,93.81
10,92.86
11,92.37
12,95.0
13,95.51
14,94.25
15,95.92
16,96.1
17,96.02
18,96.16
19,96.41
20,96.55
21,96.51
22,95.68
23,96.63
24,96.67
25,96.8
26,96.94
27,97.32
28,97.23
29,97.22
30,97.23
31,97.29
32,97.39
33,97.45
34,97.27
35,97.32
36,97.71
37,97.69
38,97.55
39,97.42
40,97.32
41,97.45
42,97.56
43,97.6
44,97.5
45,97.1
46,97.9
47,97.92
48,97.94
49,97.96
50,97.83
51,87.12
52,62.1
53,8.92
54,8.92
55,10.28
56,9.8
57,9.8
58,9.8
59,9.8
60,9.8
61,9.8
62,9.8
63,9.8
64,9.8
65,9.8
66,9.8
67,9.8
68,9.8
69,9.8
70,9.8
71,9.8
72,9.8
73,9.8
74,9.8
75,9.8
76,9.8
77,9.8
78,9.8
79,9.8
80,9.8
81,9.8
82,9.8
83,9.8
84,9.8
85,9.8
86,9.8
87,9.8
88,9.8
89,9.8
90,9.8
91,9.8
92,9.8
93,9.8
94,9.8
95,9.8
96,9.8
97,9.8
98,9.8
99,9.8
