round,server_test_acc
0,8.92
1,11.35
2,11.35
3,10.76
4,17.71
5,10.32
6,10.32
7,9.74
8,21.25
9,29.03
10,9.8
11,17.34
12,26.3
13,17.23
14,21.13
15,20.68
16,27.87
17,31.62
18,27.96
19,35.17
20,40.37
21,38.66
22,22.74
23,28.3
24,22.06
25,41.07
26,40.07
27,63.88
28,48.83
29,32.35
30,54.04
31,70.53
32,62.53
33,70.94
34,71.52
35,77.32
36,71.05
37,83.59
38,84.39
39,71.76
40,77.01
41,78.45
42,76.82
43,85.7
44,82.25
45,87.67
46,78.48
47,68.08
48,78.42
49,78.99
50,84.42
51,82.51
52,84.13
53,83.58
54,81.5
55,66.62
56,73.63
57,77.7
58,82.63
59,83.37
60,83.44
61,83.82
62,69.68
63,69.31
64,81.35
65,88.2
66,92.1
67,92.08
68,91.81
69,87.88
70,75.32
71,88.99
72,93.48
73,93.5
74,79.5
75,82.2
76,88.99
77,87.19
78,90.57
79,91.6
80,86.36
81,93.99
82,91.82
83,91.34
84,90.89
85,93.3
86,90.71
87,92.15
88,89.07
89,89.92
90,89.22
91,88.58
92,88.55
93,87.87
94,92.63
95,93.48
96,94.23
97,89.41
98,91.69
99,92.87
