round,server_test_acc
0,10.32
1,18.53
2,51.11
3,58.28
4,65.53
5,60.63
6,72.67
7,74.88
8,85.84
9,82.78
10,88.82
11,86.51
12,91.63
13,91.59
14,92.1
15,89.65
16,92.22
17,92.93
18,93.43
19,93.01
20,94.56
21,93.23
22,94.0
23,94.2
24,93.42
25,94.37
26,95.04
27,94.97
28,95.3
29,94.97
30,95.22
31,95.41
32,93.74
33,94.97
34,95.46
35,95.4
36,96.03
37,95.94
38,96.06
39,95.42
40,96.02
41,96.31
42,96.08
43,96.34
44,96.44
45,96.48
46,96.6
47,95.96
48,96.31
49,96.63
50,96.67
51,96.32
52,95.77
53,94.94
54,95.5
55,95.15
56,95.63
57,96.36
58,96.48
59,96.62
60,96.5
61,95.74
62,96.92
63,96.68
64,95.22
65,95.45
66,96.12
67,96.35
68,95.57
69,95.1
70,95.74
71,96.38
72,96.26
73,96.49
74,96.63
75,96.03
76,95.58
77,94.81
78,96.3
79,96.56
80,96.2
81,95.9
82,95.97
83,95.7
84,93.66
85,95.47
86,93.15
87,95.29
88,95.86
89,96.37
90,96.73
91,96.25
92,95.74
93,96.52
94,96.27
95,96.38
96,96.68
97,96.81
98,96.28
99,95.91
