round,server_test_acc
0,27.01
1,27.23
2,78.48
3,79.02
4,85.54
5,82.94
6,81.43
7,89.4
8,89.99
9,92.98
10,93.41
11,94.32
12,93.68
13,93.27
14,95.06
15,94.82
16,95.35
17,95.6
18,95.32
19,95.68
20,95.79
21,95.84
22,96.28
23,96.04
24,96.34
25,96.65
26,96.9
27,96.57
28,96.65
29,96.69
30,96.78
31,96.84
32,96.86
33,96.92
34,97.01
35,97.23
36,97.44
37,97.08
38,97.34
39,97.39
40,97.23
41,97.46
42,97.42
43,97.47
44,97.64
45,97.54
46,97.43
47,97.53
48,97.81
49,97.52
50,97.41
51,96.83
52,95.94
53,94.82
54,93.56
55,89.97
56,73.5
57,47.5
58,30.14
59,8.92
60,8.92
61,9.8
62,9.8
63,9.8
64,9.8
65,9.8
66,9.8
67,9.8
68,9.8
69,9.8
70,9.8
71,9.8
72,9.8
73,9.8
74,9.8
75,9.8
76,9.8
77,9.8
78,9.8
79,9.8
80,9.8
81,9.8
82,9.8
83,9.8
84,9.8
85,9.8
86,9.8
87,9.8
88,9.8
89,9.8
90,9.8
91,9.8
92,9.8
93,9.8
94,9.8
95,9.8
96,9.8
97,9.8
98,9.8
99,9.8
