round,average,clipping_median,cos_defense,dual_defense,fedavg,krum,our,trimmed_mean
0,21.04,40.47,11.78,18.08,9.74,8.92,10.32,27.01
1,39.82,11.97,10.31,11.66,27.21,11.35,18.53,27.23
2,72.02,28.21,19.51,33.1,42.6,11.35,51.11,78.48
3,67.77,45.73,13.64,31.84,69.97,10.76,58.28,79.02
4,79.59,44.27,38.54,48.97,71.96,17.71,65.53,85.54
5,78.63,62.98,65.34,62.43,85.21,10.32,60.63,82.94
6,91.24,53.7,66.81,56.93,85.29,10.32,72.67,81.43
7,89.01,52.6,74.26,74.81,85.9,9.74,74.88,89.4
8,90.72,72.03,91.21,83.76,92.52,21.25,85.84,89.99
9,93.11,80.72,89.67,81.7,93.81,29.03,82.78,92.98
10,94.16,83.25,92.32,87.27,92.86,9.8,88.82,93.41
11,94.01,84.64,90.03,83.14,92.37,17.34,86.51,94.32
12,92.92,83.5,82.37,91.46,95.0,26.3,91.63,93.68
13,94.89,84.97,92.11,91.8,95.51,17.23,91.59,93.27
14,94.68,81.17,93.47,91.27,94.25,21.13,92.1,95.06
15,95.36,86.53,93.02,90.45,95.92,20.68,89.65,94.82
16,94.73,90.47,93.35,94.14,96.1,27.87,92.22,95.35
17,95.55,88.95,92.79,91.5,96.02,31.62,92.93,95.6
18,95.46,90.3,94.75,93.18,96.16,27.96,93.43,95.32
19,96.03,91.89,90.69,93.99,96.41,35.17,93.01,95.68
20,96.34,91.3,92.93,92.3,96.55,40.37,94.56,95.79
21,96.36,92.03,92.76,95.1,96.51,38.66,93.23,95.84
22,96.06,91.53,94.36,94.62,95.68,22.74,94.0,96.28
23,95.21,92.29,93.18,93.58,96.63,28.3,94.2,96.04
24,96.14,92.57,94.53,94.24,96.67,22.06,93.42,96.34
25,96.54,93.35,95.5,94.66,96.8,41.07,94.37,96.65
26,96.79,93.08,94.84,95.55,96.94,40.07,95.04,96.9
27,96.34,90.37,95.55,91.83,97.32,63.88,94.97,96.57
28,97.15,92.26,94.27,93.83,97.23,48.83,95.3,96.65
29,97.23,92.85,94.6,94.36,97.22,32.35,94.97,96.69
30,97.12,92.76,95.97,94.35,97.23,54.04,95.22,96.78
31,97.19,92.55,95.85,93.9,97.29,70.53,95.41,96.84
32,97.34,93.16,95.86,96.24,97.39,62.53,93.74,96.86
33,96.73,93.47,96.26,95.75,97.45,70.94,94.97,96.92
34,97.44,92.81,95.01,95.81,97.27,71.52,95.46,97.01
35,96.86,93.51,96.45,95.58,97.32,77.32,95.4,97.23
36,97.29,93.09,96.51,95.99,97.71,71.05,96.03,97.44
37,97.61,93.65,96.35,94.24,97.69,83.59,95.94,97.08
38,97.47,94.32,96.58,94.59,97.55,84.39,96.06,97.34
39,97.8,94.09,96.34,94.97,97.42,71.76,95.42,97.39
40,97.57,94.38,96.01,96.29,97.32,77.01,96.02,97.23
41,97.9,93.97,96.89,95.98,97.45,78.45,96.31,97.46
42,97.82,92.86,96.45,95.55,97.56,76.82,96.08,97.42
43,97.36,94.39,96.47,96.21,97.6,85.7,96.34,97.47
44,97.51,94.15,96.22,95.37,97.5,82.25,96.44,97.64
45,97.86,93.17,96.85,95.96,97.1,87.67,96.48,97.54
46,97.67,94.67,96.76,96.77,97.9,78.48,96.6,97.43
47,97.78,94.46,96.57,97.07,97.92,68.08,95.96,97.53
48,97.82,94.28,96.89,97.04,97.94,78.42,96.31,97.81
49,97.8,94.02,97.14,95.83,97.96,78.99,96.63,97.52
50,97.73,91.93,96.11,96.6,97.83,84.42,96.67,97.41
51,92.61,94.7,97.16,95.55,87.12,82.51,96.32,96.83
52,58.97,93.34,97.47,96.62,62.1,84.13,95.77,95.94
53,10.32,93.18,97.13,96.7,8.92,83.58,94.94,94.82
54,10.32,93.65,97.43,96.06,8.92,81.5,95.5,93.56
55,9.8,92.43,97.07,96.18,10.28,66.62,95.15,89.97
56,9.8,94.77,96.72,96.96,9.8,73.63,95.63,73.5
57,9.8,94.36,97.28,96.41,9.8,77.7,96.36,47.5
58,9.8,90.48,97.57,96.67,9.8,82.63,96.48,30.14
59,9.8,92.8,96.47,97.67,9.8,83.37,96.62,8.92
60,9.8,93.61,96.93,97.63,9.8,83.44,96.5,8.92
61,9.8,92.26,97.52,97.34,9.8,83.82,95.74,9.8
62,9.8,92.88,97.58,97.52,9.8,69.68,96.92,9.8
63,9.8,92.1,97.53,97.55,9.8,69.31,96.68,9.8
64,9.8,90.67,97.53,95.03,9.8,81.35,95.22,9.8
65,9.8,93.36,97.65,97.22,9.8,88.2,95.45,9.8
66,9.8,94.61,97.12,97.43,9.8,92.1,96.12,9.8
67,9.8,94.82,95.44,97.36,9.8,92.08,96.35,9.8
68,9.8,95.06,97.58,97.41,9.8,91.81,95.57,9.8
69,9.8,94.59,97.0,97.35,9.8,87.88,95.1,9.8
70,9.8,94.12,97.94,97.2,9.8,75.32,95.74,9.8
71,9.8,93.19,97.82,97.04,9.8,88.99,96.38,9.8
72,9.8,93.76,97.94,97.27,9.8,93.48,96.26,9.8
73,9.8,94.34,97.42,96.99,9.8,93.5,96.49,9.8
74,9.8,92.48,97.89,97.43,9.8,79.5,96.63,9.8
75,9.8,93.52,97.87,97.53,9.8,82.2,96.03,9.8
76,9.8,93.59,97.76,97.86,9.8,88.99,95.58,9.8
77,9.8,94.74,98.17,97.83,9.8,87.19,94.81,9.8
78,9.8,93.98,98.23,97.21,9.8,90.57,96.3,9.8
79,9.8,94.66,97.93,97.81,9.8,91.6,96.56,9.8
80,9.8,95.39,98.15,97.85,9.8,86.36,96.2,9.8
81,9.8,93.69,97.92,98.09,9.8,93.99,95.9,9.8
82,9.8,94.29,98.09,97.84,9.8,91.82,95.97,9.8
83,9.8,95.54,98.24,98.03,9.8,91.34,95.7,9.8
84,9.8,94.64,98.04,97.47,9.8,90.89,93.66,9.8
85,9.8,93.16,98.03,98.01,9.8,93.3,95.47,9.8
86,9.8,95.04,98.14,98.06,9.8,90.71,93.15,9.8
87,9.8,93.75,98.07,98.08,9.8,92.15,95.29,9.8
88,9.8,93.69,97.98,98.2,9.8,89.07,95.86,9.8
89,9.8,93.31,98.14,97.97,9.8,89.92,96.37,9.8
90,9.8,95.2,98.09,98.37,9.8,89.22,96.73,9.8
91,9.8,94.05,98.02,97.29,9.8,88.58,96.25,9.8
92,9.8,94.23,98.15,98.42,9.8,88.55,95.74,9.8
93,9.8,95.09,97.8,97.72,9.8,87.87,96.52,9.8
94,9.8,95.2,98.04,97.82,9.8,92.63,96.27,9.8
95,9.8,90.32,97.97,97.93,9.8,93.48,96.38,9.8
96,9.8,95.52,97.99,97.72,9.8,94.23,96.68,9.8
97,9.8,95.3,97.84,98.3,9.8,89.41,96.81,9.8
98,9.8,95.51,97.87,98.12,9.8,91.69,96.28,9.8
99,9.8,93.09,98.03,97.58,9.8,92.87,95.91,9.8
