round,server_test_acc
0,9.74
1,29.57
2,59.5
3,62.12
4,87.36
5,91.33
6,88.91
7,92.54
8,93.03
9,93.66
10,93.33
11,93.63
12,94.58
13,95.02
14,95.64
15,95.33
16,95.67
17,95.89
18,95.98
19,96.07
20,96.76
21,96.82
22,96.38
23,96.87
24,96.95
25,96.55
26,97.0
27,97.01
28,97.04
29,97.36
30,97.12
31,97.1
32,97.27
33,97.34
34,97.56
35,97.63
36,97.43
37,97.56
38,97.55
39,97.54
40,97.65
41,97.54
42,97.34
43,97.73
44,97.82
45,97.84
46,97.85
47,97.98
48,97.78
49,97.53
50,97.89
51,96.82
52,66.79
53,9.8
54,9.8
55,9.8
56,9.8
57,9.8
58,9.8
59,9.8
60,9.8
61,9.8
62,9.8
63,9.8
64,9.8
65,9.8
66,9.8
67,9.8
68,9.8
69,9.8
70,9.8
71,9.8
72,9.8
73,9.8
74,9.8
75,9.8
76,9.8
77,9.8
78,9.8
79,9.8
80,9.8
81,9.8
82,9.8
83,9.8
84,9.8
85,9.8
86,9.8
87,9.8
88,9.8
89,9.8
90,9.8
91,9.8
92,9.8
93,9.8
94,9.8
95,9.8
96,9.8
97,9.8
98,9.8
99,9.8
100,9.8
101,9.8
102,9.8
103,9.8
104,9.8
105,9.8
106,9.8
107,9.8
108,9.8
109,9.8
110,9.8
111,9.8
112,9.8
113,9.8
114,9.8
115,9.8
116,9.8
117,9.8
118,9.8
119,9.8
120,9.8
121,9.8
122,9.8
123,9.8
124,9.8
125,9.8
126,9.8
127,9.8
128,9.8
129,9.8
130,9.8
131,9.8
132,9.8
133,9.8
134,9.8
135,9.8
136,9.8
137,9.8
138,9.8
139,9.8
140,9.8
141,9.8
142,9.8
143,9.8
144,9.8
145,9.8
146,9.8
147,9.8
148,9.8
149,9.8
