round,server_test_acc
0,21.63
1,18.87
2,19.19
3,37.21
4,33.76
5,63.42
6,69.72
7,68.02
8,72.37
9,78.97
10,83.7
11,83.89
12,76.71
13,76.97
14,83.56
15,85.37
16,90.67
17,90.43
18,89.58
19,91.42
20,93.09
21,90.68
22,92.15
23,92.34
24,90.4
25,90.94
26,90.21
27,92.55
28,90.88
29,92.71
30,93.06
31,93.31
32,93.11
33,94.59
34,91.29
35,94.34
36,93.57
37,94.14
38,93.23
39,93.55
40,94.47
41,94.84
42,93.0
43,93.34
44,95.22
45,94.48
46,95.05
47,93.99
48,94.83
49,94.79
50,95.43
51,95.09
52,93.75
53,95.61
54,95.82
55,95.29
56,95.39
57,95.18
58,95.53
59,95.76
60,95.84
61,95.98
62,95.86
63,95.91
64,95.72
65,95.85
66,95.69
67,95.92
68,96.24
69,95.69
70,95.77
71,96.17
72,95.81
73,96.28
74,96.16
75,96.07
76,96.03
77,96.0
78,96.04
79,95.92
80,96.39
81,96.22
82,96.36
83,96.45
84,96.27
85,96.42
86,96.41
87,96.32
88,96.53
89,96.56
90,96.35
91,96.63
92,96.45
93,96.5
94,96.24
95,96.42
96,96.12
97,96.29
98,96.13
99,96.43
100,96.66
101,96.34
102,96.57
103,96.41
104,96.65
105,96.42
106,96.72
107,96.5
108,96.64
109,96.59
110,96.32
111,96.58
112,96.75
113,96.7
114,96.45
115,96.46
116,96.38
117,96.77
118,96.53
119,96.38
120,96.7
121,96.56
122,96.78
123,96.78
124,96.73
125,96.67
126,96.68
127,96.76
128,96.69
129,96.69
130,96.81
131,96.84
132,96.75
133,96.75
134,96.79
135,96.8
136,96.81
137,96.79
138,96.67
139,96.64
140,96.83
141,96.5
142,96.78
143,96.62
144,96.45
145,96.61
146,96.69
147,96.84
148,96.88
149,96.88
