round,server_test_acc
0,9.74
1,21.05
2,33.14
3,15.95
4,34.18
5,65.52
6,85.19
7,79.95
8,80.82
9,88.25
10,80.73
11,89.95
12,90.81
13,88.95
14,91.58
15,89.67
16,93.87
17,92.99
18,92.99
19,92.9
20,94.35
21,94.77
22,94.87
23,94.5
24,93.9
25,95.09
26,94.71
27,95.61
28,92.45
29,94.99
30,94.55
31,95.93
32,94.48
33,95.36
34,95.49
35,95.9
36,95.37
37,95.86
38,96.01
39,95.99
40,96.23
41,96.64
42,96.45
43,95.99
44,96.01
45,97.13
46,96.64
47,97.01
48,96.56
49,96.61
50,96.82
51,96.53
52,10.28
53,8.92
54,8.92
55,10.09
56,11.35
57,11.35
58,11.35
59,11.35
60,11.35
61,11.35
62,11.35
63,11.35
64,11.35
65,11.35
66,11.35
67,11.35
68,11.35
69,11.35
70,11.35
71,11.35
72,11.35
73,11.35
74,11.35
75,11.35
76,11.35
77,11.35
78,11.35
79,11.35
80,11.35
81,11.35
82,11.35
83,11.35
84,11.35
85,11.35
86,11.35
87,11.35
88,11.35
89,11.35
90,11.35
91,11.35
92,11.35
93,11.35
94,11.35
95,11.35
96,11.35
97,11.35
98,11.35
99,11.35
100,11.35
101,11.35
102,11.35
103,11.35
104,11.35
105,11.35
106,11.35
107,11.35
108,11.35
109,11.35
110,11.35
111,11.35
112,11.35
113,11.35
114,11.35
115,11.35
116,11.35
117,11.35
118,11.35
119,11.35
120,11.35
121,11.35
122,11.35
123,11.35
124,11.35
125,11.35
126,11.35
127,11.35
128,11.35
129,11.35
130,11.35
131,11.35
132,11.35
133,11.35
134,11.35
135,11.35
136,11.35
137,11.35
138,11.35
139,11.35
140,11.35
141,11.35
142,11.35
143,11.35
144,11.35
145,11.35
146,11.35
147,11.35
148,11.35
149,11.35
