round,server_test_acc
0,8.92
1,17.29
2,10.56
3,46.08
4,53.4
5,46.47
6,59.89
7,68.88
8,77.38
9,88.24
10,72.72
11,88.69
12,85.62
13,87.83
14,87.02
15,89.39
16,93.66
17,93.7
18,94.11
19,94.63
20,93.0
21,92.54
22,93.87
23,91.93
24,93.81
25,92.12
26,94.17
27,94.12
28,94.48
29,95.67
30,95.47
31,95.44
32,95.92
33,94.99
34,95.34
35,95.0
36,96.01
37,95.98
38,96.35
39,95.14
40,94.51
41,96.38
42,95.71
43,96.75
44,95.77
45,95.58
46,96.07
47,96.87
48,96.75
49,96.56
50,94.54
51,95.14
52,94.46
53,94.95
54,85.93
55,87.97
56,76.64
57,93.22
58,92.22
59,94.37
60,93.37
61,96.25
62,9.8
63,9.8
64,9.8
65,9.74
66,9.74
67,9.74
68,10.1
69,9.8
70,10.32
71,9.74
72,10.28
73,10.28
74,9.8
75,9.8
76,10.09
77,8.92
78,10.1
79,9.58
80,9.74
81,9.74
82,10.1
83,10.1
84,9.8
85,9.8
86,10.1
87,8.92
88,9.58
89,11.35
90,10.32
91,10.28
92,11.35
93,10.1
94,10.1
95,10.28
96,10.1
97,11.35
98,11.35
99,11.35
100,9.58
101,10.09
102,10.32
103,9.8
104,9.74
105,9.8
106,9.8
107,9.8
108,9.8
109,11.35
110,9.8
111,10.32
112,10.1
113,11.35
114,9.58
115,10.32
116,9.8
117,11.35
118,8.92
119,11.35
120,9.58
121,9.8
122,11.35
123,11.35
124,11.35
125,10.28
126,9.8
127,10.28
128,10.28
129,9.74
130,10.28
131,10.28
132,11.35
133,9.82
134,9.58
135,9.82
136,9.74
137,8.92
138,10.09
139,11.35
140,9.8
141,10.1
142,10.1
143,11.35
144,10.28
145,10.1
146,11.35
147,11.35
148,9.8
149,10.09
