round,server_test_acc
0,21.74
1,83.29
2,84.39
3,92.07
4,91.76
5,94.04
6,93.83
7,94.25
8,95.43
9,95.01
10,94.6
11,95.47
12,96.47
13,96.19
14,95.69
15,96.49
16,95.11
17,96.5
18,97.22
19,96.88
20,96.4
21,97.06
22,96.84
23,96.65
24,97.21
25,97.39
26,96.59
27,96.75
28,97.01
29,97.6
30,97.43
31,97.33
32,97.19
33,97.76
34,97.27
35,97.67
36,97.61
37,97.22
38,97.56
39,97.75
40,98.08
41,97.58
42,97.3
43,97.76
44,97.59
45,98.03
46,97.89
47,97.71
48,96.87
49,96.84
50,97.09
51,97.8
52,44.47
53,9.6
54,11.37
55,11.35
56,11.35
57,9.8
58,9.8
59,9.8
60,9.8
61,9.8
62,9.8
63,9.8
64,9.8
65,9.8
66,9.8
67,9.8
68,9.8
69,9.8
70,9.8
71,9.8
72,9.8
73,9.8
74,9.8
75,9.8
76,9.8
77,9.8
78,9.8
79,9.8
80,9.8
81,9.8
82,9.8
83,9.8
84,9.8
85,9.8
86,9.8
87,9.8
88,9.8
89,9.8
90,9.8
91,9.8
92,9.8
93,9.8
94,9.8
95,9.8
96,9.8
97,9.8
98,9.8
99,9.8
100,9.8
101,9.8
102,9.8
103,9.8
104,9.8
105,9.8
106,9.8
107,9.8
108,9.8
109,9.8
110,9.8
111,9.8
112,9.8
113,9.8
114,9.8
115,9.8
116,9.8
117,9.8
118,9.8
119,9.8
120,9.8
121,9.8
122,9.8
123,9.8
124,9.8
125,9.8
126,9.8
127,9.8
128,9.8
129,9.8
130,9.8
131,9.8
132,9.8
133,9.8
134,9.8
135,9.8
136,9.8
137,9.8
138,9.8
139,9.8
140,9.8
141,9.8
142,9.8
143,9.8
144,9.8
145,9.8
146,9.8
147,9.8
148,9.8
149,9.8
