round,server_test_acc
0,9.74
1,9.74
2,9.74
3,12.32
4,14.46
5,10.33
6,30.56
7,10.43
8,28.94
9,8.92
10,48.96
11,54.68
12,52.23
13,36.65
14,62.97
15,58.96
16,26.99
17,41.49
18,57.11
19,48.84
20,53.15
21,58.22
22,70.42
23,73.8
24,61.6
25,80.44
26,85.32
27,72.75
28,70.19
29,85.11
30,81.73
31,80.89
32,81.39
33,77.31
34,86.62
35,72.87
36,80.99
37,85.35
38,80.89
39,85.29
40,87.11
41,83.93
42,86.42
43,86.01
44,85.77
45,89.85
46,82.82
47,87.01
48,84.68
49,83.18
50,89.59
51,87.15
52,90.66
53,93.66
54,90.76
55,91.58
56,88.86
57,89.5
58,70.83
59,92.61
60,86.14
61,80.89
62,88.91
63,89.16
64,76.06
65,82.46
66,85.73
67,92.26
68,82.3
69,72.67
70,90.57
71,88.72
72,93.89
73,84.72
74,92.21
75,87.31
76,91.73
77,94.74
78,95.03
79,93.47
80,94.21
81,93.07
82,94.31
83,95.04
84,95.49
85,92.22
86,95.01
87,94.11
88,95.0
89,95.12
90,94.92
91,95.18
92,91.91
93,86.47
94,84.83
95,92.47
96,93.69
97,95.17
98,91.42
99,93.82
100,88.4
101,95.44
102,93.73
103,95.26
104,94.29
105,94.29
106,93.39
107,93.82
108,94.9
109,94.77
110,93.91
111,91.8
112,92.76
113,95.04
114,94.95
115,95.22
116,95.31
117,94.51
118,94.95
119,95.01
120,95.49
121,95.18
122,93.47
123,94.14
124,95.46
125,93.75
126,94.99
127,94.86
128,94.53
129,90.88
130,95.91
131,96.27
132,95.72
133,93.73
134,93.86
135,94.44
136,95.29
137,93.9
138,94.96
139,94.7
140,96.39
141,96.35
142,96.24
143,96.38
144,96.24
145,96.19
146,95.58
147,95.55
148,95.93
149,96.22
