round,server_test_acc
0,10.1
1,18.25
2,37.75
3,46.56
4,65.25
5,70.78
6,74.93
7,79.05
8,85.02
9,87.64
10,85.67
11,90.74
12,88.74
13,91.25
14,92.64
15,94.28
16,94.24
17,93.76
18,94.92
19,94.33
20,95.01
21,94.52
22,95.31
23,95.65
24,94.21
25,94.2
26,95.55
27,95.66
28,95.99
29,95.72
30,96.03
31,95.52
32,95.93
33,96.11
34,95.49
35,96.45
36,96.44
37,95.93
38,96.4
39,96.08
40,96.28
41,96.65
42,96.66
43,96.88
44,97.0
45,96.82
46,96.49
47,96.41
48,96.87
49,96.92
50,97.05
51,96.5
52,96.59
53,97.11
54,96.45
55,97.05
56,96.15
57,96.88
58,96.67
59,97.37
60,93.01
61,96.98
62,97.17
63,97.16
64,97.16
65,97.16
66,96.65
67,97.06
68,97.4
69,96.83
70,96.51
71,97.34
72,96.89
73,96.97
74,97.25
75,97.21
76,97.33
77,96.88
78,97.25
79,97.15
80,95.53
81,96.88
82,97.32
83,96.47
84,97.09
85,97.16
86,96.99
87,97.13
88,97.1
89,96.76
90,96.89
91,97.17
92,97.03
93,96.84
94,97.0
95,96.88
96,96.46
97,97.0
98,96.24
99,95.32
100,95.19
101,96.4
102,97.51
103,97.23
104,96.56
105,96.59
106,96.83
107,96.74
108,96.95
109,97.01
110,97.0
111,96.79
112,96.82
113,97.42
114,96.89
115,97.06
116,96.84
117,96.73
118,97.22
119,94.99
120,96.86
121,96.82
122,96.84
123,97.16
124,96.53
125,94.82
126,95.92
127,95.39
128,96.61
129,96.64
130,97.1
131,97.17
132,97.31
133,97.07
134,97.01
135,97.08
136,96.81
137,97.05
138,97.13
139,96.57
140,95.85
141,93.83
142,96.19
143,95.38
144,95.55
145,96.06
146,96.7
147,97.08
148,96.6
149,96.14
