round,server_test_acc
0,19.01
1,37.39
2,55.23
3,62.87
4,61.41
5,76.06
6,77.85
7,84.81
8,90.44
9,91.53
10,91.9
11,91.54
12,92.4
13,93.48
14,92.9
15,93.75
16,95.08
17,94.03
18,95.31
19,94.85
20,95.7
21,94.82
22,95.48
23,95.96
24,95.8
25,95.05
26,95.94
27,96.04
28,96.09
29,95.56
30,96.67
31,96.25
32,96.67
33,97.0
34,96.54
35,97.03
36,97.14
37,96.87
38,96.91
39,97.12
40,97.17
41,97.07
42,97.54
43,97.44
44,97.51
45,97.3
46,97.3
47,97.35
48,97.68
49,97.45
50,97.61
51,96.8
52,88.78
53,9.8
54,9.8
55,9.8
56,9.8
57,9.8
58,9.8
59,9.8
60,9.8
61,9.8
62,9.8
63,9.8
64,9.8
65,9.8
66,9.8
67,9.8
68,9.8
69,9.8
70,9.8
71,9.8
72,9.8
73,9.8
74,9.8
75,9.8
76,9.8
77,9.8
78,9.8
79,9.8
80,9.8
81,9.8
82,9.8
83,9.8
84,9.8
85,9.8
86,9.8
87,9.8
88,9.8
89,9.8
90,9.8
91,9.8
92,9.8
93,9.8
94,9.8
95,9.8
96,9.8
97,9.8
98,9.8
99,9.8
100,9.8
101,9.8
102,9.8
103,9.8
104,9.8
105,9.8
106,9.8
107,9.8
108,9.8
109,9.8
110,9.8
111,9.8
112,9.8
113,9.8
114,9.8
115,9.8
116,9.8
117,9.8
118,9.8
119,9.8
120,9.8
121,9.8
122,9.8
123,9.8
124,9.8
125,9.8
126,9.8
127,9.8
128,9.8
129,9.8
130,9.8
131,9.8
132,9.8
133,9.8
134,9.8
135,9.8
136,9.8
137,9.8
138,9.8
139,9.8
140,9.8
141,9.8
142,9.8
143,9.8
144,9.8
145,9.8
146,9.8
147,9.8
148,9.8
149,9.8
