round,average,clipping_median,cos_defense,dual_defense,fedavg,krum,our,trimmed_mean
0,9.74,21.63,9.74,8.92,21.74,9.74,10.1,19.01
1,29.57,18.87,21.05,17.29,83.29,9.74,18.25,37.39
2,59.5,19.19,33.14,10.56,84.39,9.74,37.75,55.23
3,62.12,37.21,15.95,46.08,92.07,12.32,46.56,62.87
4,87.36,33.76,34.18,53.4,91.76,14.46,65.25,61.41
5,91.33,63.42,65.52,46.47,94.04,10.33,70.78,76.06
6,88.91,69.72,85.19,59.89,93.83,30.56,74.93,77.85
7,92.54,68.02,79.95,68.88,94.25,10.43,79.05,84.81
8,93.03,72.37,80.82,77.38,95.43,28.94,85.02,90.44
9,93.66,78.97,88.25,88.24,95.01,8.92,87.64,91.53
10,93.33,83.7,80.73,72.72,94.6,48.96,85.67,91.9
11,93.63,83.89,89.95,88.69,95.47,54.68,90.74,91.54
12,94.58,76.71,90.81,85.62,96.47,52.23,88.74,92.4
13,95.02,76.97,88.95,87.83,96.19,36.65,91.25,93.48
14,95.64,83.56,91.58,87.02,95.69,62.97,92.64,92.9
15,95.33,85.37,89.67,89.39,96.49,58.96,94.28,93.75
16,95.67,90.67,93.87,93.66,95.11,26.99,94.24,95.08
17,95.89,90.43,92.99,93.7,96.5,41.49,93.76,94.03
18,95.98,89.58,92.99,94.11,97.22,57.11,94.92,95.31
19,96.07,91.42,92.9,94.63,96.88,48.84,94.33,94.85
20,96.76,93.09,94.35,93.0,96.4,53.15,95.01,95.7
21,96.82,90.68,94.77,92.54,97.06,58.22,94.52,94.82
22,96.38,92.15,94.87,93.87,96.84,70.42,95.31,95.48
23,96.87,92.34,94.5,91.93,96.65,73.8,95.65,95.96
24,96.95,90.4,93.9,93.81,97.21,61.6,94.21,95.8
25,96.55,90.94,95.09,92.12,97.39,80.44,94.2,95.05
26,97.0,90.21,94.71,94.17,96.59,85.32,95.55,95.94
27,97.01,92.55,95.61,94.12,96.75,72.75,95.66,96.04
28,97.04,90.88,92.45,94.48,97.01,70.19,95.99,96.09
29,97.36,92.71,94.99,95.67,97.6,85.11,95.72,95.56
30,97.12,93.06,94.55,95.47,97.43,81.73,96.03,96.67
31,97.1,93.31,95.93,95.44,97.33,80.89,95.52,96.25
32,97.27,93.11,94.48,95.92,97.19,81.39,95.93,96.67
33,97.34,94.59,95.36,94.99,97.76,77.31,96.11,97.0
34,97.56,91.29,95.49,95.34,97.27,86.62,95.49,96.54
35,97.63,94.34,95.9,95.0,97.67,72.87,96.45,97.03
36,97.43,93.57,95.37,96.01,97.61,80.99,96.44,97.14
37,97.56,94.14,95.86,95.98,97.22,85.35,95.93,96.87
38,97.55,93.23,96.01,96.35,97.56,80.89,96.4,96.91
39,97.54,93.55,95.99,95.14,97.75,85.29,96.08,97.12
40,97.65,94.47,96.23,94.51,98.08,87.11,96.28,97.17
41,97.54,94.84,96.64,96.38,97.58,83.93,96.65,97.07
42,97.34,93.0,96.45,95.71,97.3,86.42,96.66,97.54
43,97.73,93.34,95.99,96.75,97.76,86.01,96.88,97.44
44,97.82,95.22,96.01,95.77,97.59,85.77,97.0,97.51
45,97.84,94.48,97.13,95.58,98.03,89.85,96.82,97.3
46,97.85,95.05,96.64,96.07,97.89,82.82,96.49,97.3
47,97.98,93.99,97.01,96.87,97.71,87.01,96.41,97.35
48,97.78,94.83,96.56,96.75,96.87,84.68,96.87,97.68
49,97.53,94.79,96.61,96.56,96.84,83.18,96.92,97.45
50,97.89,95.43,96.82,94.54,97.09,89.59,97.05,97.61
51,96.82,95.09,96.53,95.14,97.8,87.15,96.5,96.8
52,66.79,93.75,10.28,94.46,44.47,90.66,96.59,88.78
53,9.8,95.61,8.92,94.95,9.6,93.66,97.11,9.8
54,9.8,95.82,8.92,85.93,11.37,90.76,96.45,9.8
55,9.8,95.29,10.09,87.97,11.35,91.58,97.05,9.8
56,9.8,95.39,11.35,76.64,11.35,88.86,96.15,9.8
57,9.8,95.18,11.35,93.22,9.8,89.5,96.88,9.8
58,9.8,95.53,11.35,92.22,9.8,70.83,96.67,9.8
59,9.8,95.76,11.35,94.37,9.8,92.61,97.37,9.8
60,9.8,95.84,11.35,93.37,9.8,86.14,93.01,9.8
61,9.8,95.98,11.35,96.25,9.8,80.89,96.98,9.8
62,9.8,95.86,11.35,9.8,9.8,88.91,97.17,9.8
63,9.8,95.91,11.35,9.8,9.8,89.16,97.16,9.8
64,9.8,95.72,11.35,9.8,9.8,76.06,97.16,9.8
65,9.8,95.85,11.35,9.74,9.8,82.46,97.16,9.8
66,9.8,95.69,11.35,9.74,9.8,85.73,96.65,9.8
67,9.8,95.92,11.35,9.74,9.8,92.26,97.06,9.8
68,9.8,96.24,11.35,10.1,9.8,82.3,97.4,9.8
69,9.8,95.69,11.35,9.8,9.8,72.67,96.83,9.8
70,9.8,95.77,11.35,10.32,9.8,90.57,96.51,9.8
71,9.8,96.17,11.35,9.74,9.8,88.72,97.34,9.8
72,9.8,95.81,11.35,10.28,9.8,93.89,96.89,9.8
73,9.8,96.28,11.35,10.28,9.8,84.72,96.97,9.8
74,9.8,96.16,11.35,9.8,9.8,92.21,97.25,9.8
75,9.8,96.07,11.35,9.8,9.8,87.31,97.21,9.8
76,9.8,96.03,11.35,10.09,9.8,91.73,97.33,9.8
77,9.8,96.0,11.35,8.92,9.8,94.74,96.88,9.8
78,9.8,96.04,11.35,10.1,9.8,95.03,97.25,9.8
79,9.8,95.92,11.35,9.58,9.8,93.47,97.15,9.8
80,9.8,96.39,11.35,9.74,9.8,94.21,95.53,9.8
81,9.8,96.22,11.35,9.74,9.8,93.07,96.88,9.8
82,9.8,96.36,11.35,10.1,9.8,94.31,97.32,9.8
83,9.8,96.45,11.35,10.1,9.8,95.04,96.47,9.8
84,9.8,96.27,11.35,9.8,9.8,95.49,97.09,9.8
85,9.8,96.42,11.35,9.8,9.8,92.22,97.16,9.8
86,9.8,96.41,11.35,10.1,9.8,95.01,96.99,9.8
87,9.8,96.32,11.35,8.92,9.8,94.11,97.13,9.8
