round,server_test_acc
0,28.19
1,43.67
2,35.37
3,50.91
4,52.84
5,62.99
6,59.19
7,69.86
8,68.08
9,66.23
10,69.93
11,63.54
12,69.87
13,69.78
14,72.33
15,74.8
16,71.25
17,71.72
18,71.42
19,73.94
20,68.73
21,68.72
22,71.9
23,73.38
24,76.48
25,74.33
26,76.12
27,77.14
28,75.18
29,70.68
30,76.08
31,69.59
32,74.88
33,75.37
34,75.66
35,76.75
36,78.27
37,74.32
38,78.42
39,76.03
40,78.19
41,75.78
42,77.56
43,76.03
44,75.82
45,79.31
46,79.36
47,78.38
48,77.01
49,76.84
50,79.82
51,78.32
52,78.32
53,63.44
54,77.78
55,78.92
56,77.97
57,79.2
58,72.8
59,68.06
60,75.44
61,75.35
62,80.23
63,80.07
64,76.58
65,76.75
66,81.23
67,79.24
68,79.86
69,80.28
70,79.74
71,80.05
72,82.18
73,80.5
74,81.7
75,79.12
76,69.69
77,76.48
78,82.57
79,79.06
80,81.54
81,80.85
82,81.37
83,83.21
84,78.31
85,78.97
86,80.6
87,78.65
88,76.8
89,81.23
90,81.76
91,82.5
92,81.96
93,76.99
94,78.69
95,79.78
96,81.54
97,82.04
98,82.43
99,82.09
