round,server_test_acc
0,10.0
1,10.0
2,29.2
3,44.32
4,37.75
5,41.64
6,42.55
7,52.55
8,48.75
9,61.91
10,58.21
11,54.86
12,56.98
13,61.45
14,56.94
15,51.37
16,53.44
17,70.83
18,64.81
19,70.42
20,63.41
21,66.97
22,59.49
23,65.81
24,71.3
25,69.8
26,71.9
27,65.94
28,69.26
29,73.01
30,70.84
31,73.86
32,66.75
33,69.24
34,72.45
35,74.76
36,71.65
37,74.12
38,70.98
39,77.29
40,74.32
41,74.88
42,75.76
43,74.03
44,78.87
45,77.12
46,77.51
47,75.4
48,76.51
49,76.59
50,70.64
51,71.36
52,75.17
53,75.52
54,67.47
55,77.58
56,76.21
57,77.62
58,70.35
59,78.08
60,77.0
61,77.59
62,78.79
63,77.51
64,76.2
65,79.59
66,72.61
67,78.67
68,77.66
69,78.88
70,77.43
71,72.62
72,79.42
73,78.97
74,73.96
75,76.53
76,73.74
77,79.4
78,80.06
79,80.92
80,78.03
81,82.76
82,79.93
83,80.46
84,82.6
85,78.44
86,81.56
87,79.58
88,82.33
89,73.16
90,83.39
91,82.22
92,78.54
93,82.39
94,79.73
95,75.47
96,81.34
97,82.79
98,81.27
99,79.88
