round,server_test_acc
0,10.0
1,21.31
2,10.0
3,12.64
4,17.5
5,18.63
6,19.12
7,10.0
8,10.0
9,17.8
10,21.28
11,35.77
12,21.12
13,28.83
14,23.61
15,20.61
16,28.26
17,12.37
18,40.64
19,28.08
20,37.77
21,31.27
22,47.34
23,29.9
24,28.97
25,30.57
26,28.42
27,29.36
28,36.34
29,50.84
30,50.23
31,63.08
32,53.26
33,44.3
34,57.72
35,48.75
36,59.89
37,50.86
38,53.07
39,53.72
40,61.09
41,47.14
42,59.25
43,61.06
44,62.36
45,59.04
46,59.81
47,53.23
48,59.01
49,67.13
50,63.51
51,54.63
52,65.51
53,59.8
54,59.33
55,61.26
56,53.09
57,53.02
58,67.45
59,49.57
60,49.75
61,50.32
62,63.69
63,62.2
64,54.93
65,54.42
66,67.28
67,57.37
68,69.1
69,59.92
70,65.57
71,65.36
72,71.05
73,71.79
74,72.02
75,71.21
76,65.47
77,63.57
78,60.26
79,71.1
80,63.8
81,66.62
82,72.52
83,67.44
84,74.32
85,71.49
86,71.75
87,73.41
88,73.62
89,68.05
90,66.99
91,74.3
92,77.22
93,76.72
94,66.05
95,76.11
96,77.11
97,68.12
98,70.17
99,73.94
