round,server_test_acc
0,17.72
1,28.51
2,49.31
3,55.6
4,45.83
5,55.74
6,45.6
7,56.18
8,55.93
9,58.79
10,58.38
11,59.91
12,55.67
13,64.67
14,60.13
15,68.18
16,62.29
17,65.56
18,68.37
19,67.25
20,68.08
21,69.08
22,68.96
23,69.37
24,73.5
25,75.37
26,67.32
27,68.76
28,72.53
29,70.92
30,71.51
31,70.78
32,75.19
33,68.1
34,70.47
35,69.45
36,74.04
37,70.14
38,65.25
39,76.92
40,75.36
41,74.4
42,68.17
43,72.25
44,75.22
45,76.92
46,77.23
47,74.26
48,76.05
49,76.33
50,74.49
51,67.73
52,63.21
53,66.8
54,69.76
55,69.1
56,70.96
57,69.85
58,72.96
59,73.63
60,70.47
61,65.99
62,66.51
63,73.5
64,70.52
65,62.14
66,71.04
67,71.96
68,73.02
69,68.37
70,68.39
71,72.13
72,72.55
73,74.44
74,68.77
75,74.03
76,78.06
77,72.6
78,71.93
79,72.51
80,71.78
81,77.46
82,76.02
83,77.01
84,78.04
85,76.75
86,71.52
87,70.44
88,72.05
89,73.91
90,75.69
91,67.69
92,62.42
93,64.47
94,64.41
95,76.91
96,76.93
97,77.55
98,78.24
99,77.81
