round,server_test_acc
0,26.2
1,24.86
2,37.95
3,53.9
4,53.64
5,63.44
6,58.12
7,67.67
8,68.25
9,66.56
10,65.61
11,72.11
12,69.07
13,74.15
14,70.22
15,68.17
16,72.88
17,73.65
18,69.74
19,72.34
20,71.1
21,73.66
22,76.73
23,70.89
24,72.79
25,73.73
26,72.62
27,71.6
28,74.24
29,74.09
30,76.81
31,76.67
32,75.43
33,76.9
34,72.45
35,74.74
36,70.79
37,77.4
38,78.32
39,77.32
40,74.08
41,78.8
42,78.65
43,76.98
44,80.09
45,78.23
46,79.4
47,79.22
48,63.07
49,79.29
50,74.28
51,78.16
52,73.25
53,73.39
54,59.48
55,52.93
56,19.92
57,10.0
58,10.0
59,10.0
60,10.0
61,10.0
62,10.0
63,10.0
64,10.0
65,10.0
66,10.0
67,10.0
68,10.0
69,10.0
70,10.0
71,10.0
72,10.0
73,10.0
74,10.0
75,10.0
76,10.0
77,10.0
78,10.0
79,10.0
80,10.0
81,10.0
82,10.0
83,10.0
84,10.0
85,10.0
86,10.0
87,10.0
88,10.0
89,10.0
90,10.0
91,10.0
92,10.0
93,10.0
94,10.0
95,10.0
96,10.0
97,10.0
98,10.0
99,10.0
